Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,0,0.04,-0.04,2250.0,0,0.67,-0.67,134.3,0.71,-0.71,126.8,29/11/2020
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,0,0.32,-0.32,281.3,0,0.0,0.0,inf,0.32,-0.32,281.3,29/11/2020
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,1,0.09,0.91,722.2,0,0.08,-0.08,812.5,0.17,0.83,382.4,29/11/2020
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,29/11/2020
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,0,0.01,-0.01,4500.0,0,0.17,-0.17,264.7,0.18,-0.18,250.0,29/11/2020
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/11/2020
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/11/2020
"Luiz  David Luiz Moreira Marinho (Arsenal, Defender)",ARS,5.4,0,0.12,-0.12,375.0,0,0.05,-0.05,900.0,0.17,-0.17,264.7,29/11/2020
"Nelson (Reiss)  Reiss Nelson (Arsenal, Forward)",ARS,5.1,0,0.02,-0.02,1250.0,0,0.06,-0.06,416.7,0.08,-0.08,312.5,29/11/2020
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,0,0.59,-0.59,152.5,0,0.37,-0.37,243.2,0.96,-0.96,93.8,29/11/2020
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,29/11/2020
"Willock  Joseph Willock (Arsenal, Midfielder)",ARS,6.0,0,0.26,-0.26,346.2,0,0.04,-0.04,2250.0,0.3,-0.3,300.0,29/11/2020
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,0,0.1,-0.1,800.0,0,0.0,0.0,inf,0.1,-0.1,800.0,29/11/2020
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,0,0.01,-0.01,9000.0,1,0.05,0.95,1800.0,0.06,0.94,1500.0,29/11/2020
"Boly  Willy Boly (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/11/2020
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/11/2020
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.0,0.0,inf,0,0.55,-0.55,163.6,0.55,-0.55,163.6,29/11/2020
"Raúl Jiménez  Raul Alonso Jimenez Rodriguez (Wolverhampton Wanderers, Forward)",WOL,7.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/11/2020
"Kilman  Max Kilman (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/11/2020
"Marçal  Fernando Marçal de Oliveira (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,29/11/2020
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.02,-0.02,4500.0,0,0.04,-0.04,2250.0,0.06,-0.06,1500.0,29/11/2020
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,0,0.47,-0.47,191.5,1,0.55,0.45,163.6,1.02,-0.02,88.2,29/11/2020
"Podence  Daniel Podence (Wolverhampton Wanderers, Midfielder)",WOL,5.5,0,0.04,-0.04,1750.0,1,0.49,0.51,142.9,0.53,0.47,132.1,29/11/2020
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.23,-0.23,391.3,0,0.0,0.0,inf,0.23,-0.23,391.3,29/11/2020
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,0,0.04,-0.04,1575.0,0,0.34,-0.34,185.3,0.38,-0.38,165.8,29/11/2020
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,0,0.35,-0.35,257.1,0,0.06,-0.06,1500.0,0.41,-0.41,219.5,29/11/2020
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/11/2020
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/11/2020
