Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,9,0,2,0,0,0,0,3,14,14,6.4,28/11/2020
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,63,3,0,0,0,0,0,1,1,0,0,0.0,28/11/2020
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,90,8,6,2,4,0,0,0,0,19,19,4.7,28/11/2020
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,90,5,3,0,4,0,0,1,1,30,12,7.5,28/11/2020
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,19,1,1,0,0,0,0,0,1,4,4,4.8,28/11/2020
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,8,0,0,0,0,0,0,0,0,3,3,2.7,28/11/2020
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,90,8,4,0,0,0,0,0,2,9,9,10.0,28/11/2020
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,25,2,0,0,0,0,1,1,1,-3,-3,0.0,28/11/2020
"Mat Ryan  Mathew Ryan (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,8,1,0,0,0,0,0,0,10,10,9.0,28/11/2020
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,65,3,0,0,0,0,0,0,0,3,3,21.7,28/11/2020
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,90,6,3,1,2,2,0,0,1,12,12,7.5,28/11/2020
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,90,6,3,0,4,0,0,0,0,11,11,8.2,28/11/2020
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,90,1,2,2,0,0,0,1,3,18,9,10.0,28/11/2020
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,6,8,0,2,0,0,2,0,11,11,8.2,28/11/2020
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,90,1,2,0,0,0,0,0,0,2,2,45.0,28/11/2020
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,45,2,0,1,2,0,0,0,0,7,7,6.4,28/11/2020
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,16,3,1,0,0,0,0,0,0,4,4,4.0,28/11/2020
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,26,1,0,0,0,0,0,0,0,0,0,0.0,28/11/2020
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,74,4,2,1,4,1,0,0,2,14,14,5.3,28/11/2020
"Minamino  Takumi Minamino (Liverpool, Midfielder)",LIV,5.5,90,5,0,0,4,0,0,0,1,7,7,12.9,28/11/2020
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,90,4,7,2,4,0,0,0,0,16,16,5.6,28/11/2020
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,90,10,3,0,0,0,0,0,1,12,12,7.5,28/11/2020
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,90,9,6,1,4,1,0,1,1,14,14,6.4,28/11/2020
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,64,2,0,0,0,0,0,1,0,11,2,32.0,28/11/2020
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,90,6,2,2,4,0,0,1,0,17,17,5.3,28/11/2020
"Diogo Jota  Diogo José Teixeira da Silva (Liverpool, Midfielder)",LIV,7.5,90,1,0,0,4,0,0,0,1,23,5,18.0,28/11/2020
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,90,4,1,0,4,0,0,0,0,10,10,9.0,28/11/2020
"Williams (Neco)  Neco Williams (Liverpool, Defender)",LIV,4.0,45,2,1,0,0,0,0,0,1,-2,-2,0.0,28/11/2020
