Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,0,0.01,-0.01,6600.0,0,0.06,-0.06,1100.0,0.07,-0.07,942.9,27/11/2020
"Batshuayi  Michy Batshuayi (Crystal Palace, Forward)",CRY,5.5,0,0.08,-0.08,100.0,0,0.0,0.0,inf,0.08,-0.08,100.0,27/11/2020
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,0,0.03,-0.03,800.0,0,0.16,-0.16,150.0,0.19,-0.19,126.3,27/11/2020
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,0,0.06,-0.06,1500.0,0,0.06,-0.06,1500.0,0.12,-0.12,750.0,27/11/2020
"Clyne  Nathaniel Clyne (Crystal Palace, Defender)",CRY,4.5,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,27/11/2020
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,27/11/2020
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,0,0.08,-0.08,1125.0,0,0.05,-0.05,1800.0,0.13,-0.13,692.3,27/11/2020
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/11/2020
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,0,0.08,-0.08,1125.0,0,0.17,-0.17,529.4,0.25,-0.25,360.0,27/11/2020
"McArthur  James McArthur (Crystal Palace, Midfielder)",CRY,4.5,0,0.07,-0.07,1171.4,0,0.0,0.0,inf,0.07,-0.07,1171.4,27/11/2020
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,0,0.01,-0.01,2300.0,0,0.0,0.0,inf,0.01,-0.01,2300.0,27/11/2020
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,0,0.03,-0.03,3000.0,0,0.1,-0.1,900.0,0.13,-0.13,692.3,27/11/2020
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,0,0.1,-0.1,670.0,0,0.0,0.0,inf,0.1,-0.1,670.0,27/11/2020
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,0,0.14,-0.14,642.9,0,0.06,-0.06,1500.0,0.2,-0.2,450.0,27/11/2020
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,0.04,-0.04,1675.0,0,0.0,0.0,inf,0.04,-0.04,1675.0,27/11/2020
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,1,0.1,0.9,890.0,1,0.59,0.41,150.8,0.69,1.31,129.0,27/11/2020
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/11/2020
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/11/2020
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/11/2020
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,27/11/2020
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,0,0.11,-0.11,818.2,0,0.03,-0.03,3000.0,0.14,-0.14,642.9,27/11/2020
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,27/11/2020
"Manquillo  Javier Manquillo (Newcastle United, Defender)",NEW,4.0,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,27/11/2020
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,0,0.1,-0.1,230.0,0,0.04,-0.04,575.0,0.14,-0.14,164.3,27/11/2020
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/11/2020
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,0,0.02,-0.02,4500.0,0,0.13,-0.13,692.3,0.15,-0.15,600.0,27/11/2020
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,1,0.01,0.99,9000.0,1,0.47,0.53,191.5,0.48,1.52,187.5,27/11/2020
