Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Bernard  Bernard Anício Caldeira Duarte (Everton, Midfielder)",EVE,5.5,8,0,0,0,0,0,0,0,0,2,2,4.0,28/11/2020
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,90,2,2,2,2,0,0,2,1,11,11,8.2,28/11/2020
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,61,2,4,0,0,1,1,1,1,11,11,5.5,28/11/2020
"Delph  Fabian Delph (Everton, Midfielder)",EVE,4.5,29,3,1,0,0,0,0,0,1,5,5,5.8,28/11/2020
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,90,7,0,1,4,0,0,0,0,8,8,11.3,28/11/2020
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,90,1,7,1,4,0,0,0,0,14,14,6.4,28/11/2020
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,82,6,8,0,6,0,0,0,0,15,15,5.5,28/11/2020
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,67,7,5,0,0,0,0,1,0,10,10,6.7,28/11/2020
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,90,0,10,0,0,0,0,0,0,9,9,10.0,28/11/2020
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,90,8,0,0,4,0,0,2,5,11,11,8.2,28/11/2020
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,90,11,3,0,0,0,0,0,0,20,20,4.5,28/11/2020
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,90,8,2,1,2,1,1,5,2,18,18,5.0,28/11/2020
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,23,2,1,0,0,0,0,0,2,2,2,11.5,28/11/2020
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,90,4,1,2,0,0,0,2,1,9,9,10.0,28/11/2020
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,90,6,1,0,2,1,0,1,0,18,6,15.0,28/11/2020
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,4,2,0,2,2,0,3,1,22,10,9.0,28/11/2020
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,89,2,1,0,0,0,0,2,0,0,0,0.0,28/11/2020
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,90,3,3,2,6,0,0,0,0,26,14,6.4,28/11/2020
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,1,0,0,0,0,0,0,0,0,0,0,0.0,28/11/2020
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,5,2,1,6,1,1,3,0,32,20,4.5,28/11/2020
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,85,3,0,0,2,0,1,2,0,28,7,12.1,28/11/2020
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,89,4,1,0,0,0,0,2,1,6,-3,0.0,28/11/2020
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,90,9,1,0,2,0,1,2,1,8,8,11.3,28/11/2020
"Koch  Robin Koch (Leeds United, Defender)",LEE,4.5,90,3,3,0,4,0,0,0,1,23,11,8.2,28/11/2020
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,15,0,0,0,0,0,0,0,38,26,3.5,28/11/2020
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,1,0,0,0,0,0,1,1,0,3,3,0.3,28/11/2020
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,90,11,2,2,6,0,0,1,1,17,17,5.3,28/11/2020
"Poveda-Ocampo  Ian Carlo Poveda-Ocampo (Leeds United, Midfielder)",LEE,4.5,5,0,0,0,0,0,1,1,1,7,7,0.7,28/11/2020
