Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,88,12,7,0,2,1,0,2,1,22,13,6.8,30/11/2020
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,17,1,0,0,0,0,0,0,1,3,3,5.7,30/11/2020
"Elmohamady  Ahmed Elmohamady (Aston Villa, Defender)",AVL,4.2,2,1,0,0,0,0,0,0,0,3,3,0.7,30/11/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,2,0,1,4,1,0,5,8,41,23,3.9,30/11/2020
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,73,0,1,0,0,0,1,1,0,4,4,18.3,30/11/2020
"Hourihane  Conor Hourihane (Aston Villa, Midfielder)",AVL,5.0,74,5,0,0,4,0,0,0,0,10,10,7.4,30/11/2020
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,3,3,0,6,0,0,0,0,13,13,6.9,30/11/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,5,0,0,2,0,0,0,0,9,9,10.0,30/11/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,6,0,1,0,1,0,0,1,8,8,11.3,30/11/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,9,2,0,4,0,0,0,0,13,13,6.9,30/11/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,90,6,2,1,4,0,0,1,2,17,17,5.3,30/11/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,3,3,0,4,1,0,4,0,17,17,5.3,30/11/2020
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,16,1,0,0,0,0,0,0,1,3,3,5.3,30/11/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,0,0,0,0,0,1,1,0,-10,-10,0.0,30/11/2020
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,45,2,0,0,0,0,0,0,1,1,1,45.0,30/11/2020
"Balbuena  Fabián Balbuena (West Ham United, Defender)",WHU,4.1,90,5,10,0,0,0,0,0,0,11,11,8.2,30/11/2020
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,45,6,0,0,0,0,0,1,1,14,5,9.0,30/11/2020
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,79,7,0,0,0,0,1,2,0,40,10,7.9,30/11/2020
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,90,3,4,0,0,0,0,0,0,5,5,18.0,30/11/2020
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,90,3,3,0,0,1,0,0,0,8,8,11.3,30/11/2020
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,90,10,0,0,0,0,0,0,0,19,19,4.7,30/11/2020
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,90,2,0,0,0,0,0,0,0,0,0,0.0,30/11/2020
"Haller  Sébastien Haller (West Ham United, Forward)",WHU,6.1,45,2,0,1,0,0,0,0,2,2,2,22.5,30/11/2020
"Masuaku  Arthur Masuaku (West Ham United, Defender)",WHU,4.5,45,3,1,1,0,0,0,1,1,6,6,7.5,30/11/2020
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,11,2,0,0,0,0,0,0,0,3,3,3.7,30/11/2020
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,90,2,11,0,0,0,0,0,0,22,10,9.0,30/11/2020
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,90,7,4,0,2,0,0,1,0,9,9,10.0,30/11/2020
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,90,4,7,0,0,0,0,0,0,8,8,11.3,30/11/2020
