Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,0,0.16,-0.16,562.5,0,0.12,-0.12,750.0,0.28,-0.28,321.4,06/12/2020
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,0,0.08,-0.08,937.5,0,0.0,0.0,inf,0.08,-0.08,937.5,06/12/2020
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,0,0.19,-0.19,473.7,0,0.1,-0.1,900.0,0.29,-0.29,310.3,06/12/2020
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,0,0.03,-0.03,1433.3,0,0.0,0.0,inf,0.03,-0.03,1433.3,06/12/2020
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,06/12/2020
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,0,0.05,-0.05,1800.0,0,0.25,-0.25,360.0,0.3,-0.3,300.0,06/12/2020
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/12/2020
"Eddie Nketiah  Edward Nketiah (Arsenal, Forward)",ARS,5.5,0,0.01,-0.01,1500.0,0,0.0,0.0,inf,0.01,-0.01,1500.0,06/12/2020
"Partey  Thomas Partey (Arsenal, Midfielder)",ARS,5.0,0,0.05,-0.05,940.0,0,0.06,-0.06,783.3,0.11,-0.11,427.3,06/12/2020
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,0,0.27,-0.27,333.3,0,0.1,-0.1,900.0,0.37,-0.37,243.2,06/12/2020
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,0,0.11,-0.11,818.2,0,0.0,0.0,inf,0.11,-0.11,818.2,06/12/2020
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,06/12/2020
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,06/12/2020
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/12/2020
"Aurier  Serge Aurier (Tottenham Hotspur, Defender)",TOT,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/12/2020
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/12/2020
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/12/2020
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,0,0.0,0.0,inf,0,0.06,-0.06,1500.0,0.06,-0.06,1500.0,06/12/2020
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,0,0.0,0.0,inf,0,0.03,-0.03,3000.0,0.03,-0.03,3000.0,06/12/2020
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,1,0.0,1.0,inf,1,0.16,0.84,562.5,0.16,1.84,562.5,06/12/2020
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/12/2020
"Lo Celso  Giovani Lo Celso (Tottenham Hotspur, Midfielder)",TOT,6.0,0,0.02,-0.02,3600.0,0,0.0,0.0,inf,0.02,-0.02,3600.0,06/12/2020
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,06/12/2020
"Rodon  Joe Rodon (Tottenham Hotspur, Defender)",TOT,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/12/2020
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/12/2020
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,06/12/2020
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,0.05,0.95,1760.0,1,0.03,0.97,2933.3,0.08,1.92,1100.0,06/12/2020
