Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,11,06/12/2020,MID,False
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,1,75,0,1,0,0,0,0,0,2,0,0,0,TOT,11,06/12/2020,DEF,False
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,11,06/12/2020,MID,False
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,0,43,1,0,0,0,0,0,0,0,0,0,0,TOT,11,06/12/2020,MID,False
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,11,06/12/2020,DEF,False
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,1,90,0,0,0,0,0,0,0,2,0,1,0,TOT,11,06/12/2020,FWD,False
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,11,06/12/2020,GKP,False
"Eddie Nketiah  Edward Nketiah (Arsenal, Forward)",ARS,5.5,0,15,1,0,0,0,0,0,0,0,0,0,0,TOT,11,06/12/2020,FWD,False
"Partey  Thomas Partey (Arsenal, Midfielder)",ARS,5.0,1,47,0,1,0,0,0,0,0,2,0,0,0,TOT,11,06/12/2020,MID,False
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,11,06/12/2020,MID,False
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,11,06/12/2020,DEF,False
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,1,90,0,0,0,0,0,0,0,2,0,1,0,TOT,11,06/12/2020,MID,False
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,1,90,0,0,0,0,0,0,0,2,0,0,0,TOT,11,06/12/2020,DEF,False
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,11,06/12/2020,DEF,True
"Aurier  Serge Aurier (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,11,06/12/2020,DEF,True
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,1,89,0,1,0,0,0,0,1,0,0,0,0,ARS,11,06/12/2020,MID,True
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,0,18,1,0,0,0,0,0,0,0,0,0,0,ARS,11,06/12/2020,DEF,True
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,11,06/12/2020,DEF,True
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,11,06/12/2020,MID,True
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,1,90,0,0,1,1,0,1,1,0,0,0,0,ARS,11,06/12/2020,FWD,True
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,11,06/12/2020,GKP,True
"Lo Celso  Giovani Lo Celso (Tottenham Hotspur, Midfielder)",TOT,6.0,1,72,0,1,0,0,0,0,1,0,0,1,0,ARS,11,06/12/2020,MID,True
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,11,06/12/2020,DEF,True
"Rodon  Joe Rodon (Tottenham Hotspur, Defender)",TOT,4.5,0,1,1,0,0,0,0,0,0,0,0,0,0,ARS,11,06/12/2020,DEF,True
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,0,2,1,0,0,0,0,0,0,0,0,0,0,ARS,11,06/12/2020,MID,True
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,11,06/12/2020,MID,True
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,88,0,1,1,1,0,1,1,0,0,0,0,ARS,11,06/12/2020,MID,True
