Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,1,90,0,0,0,0,0,0,0,1,1,0,0,BUR,12,13/12/2020,MID,True
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,1,74,0,1,0,0,0,0,0,1,0,1,0,BUR,12,13/12/2020,DEF,True
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,1,82,0,1,0,0,0,0,0,1,0,0,0,BUR,12,13/12/2020,MID,True
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,0,30,1,0,0,0,0,0,0,1,0,0,0,BUR,12,13/12/2020,MID,True
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,1,90,0,0,0,0,0,0,0,1,0,1,0,BUR,12,13/12/2020,MID,True
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,BUR,12,13/12/2020,DEF,True
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,1,60,0,1,0,0,0,0,1,0,0,0,0,BUR,12,13/12/2020,FWD,True
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BUR,12,13/12/2020,GKP,True
"Maitland-Niles  Ainsley Maitland-Niles (Arsenal, Defender)",ARS,5.5,0,16,1,0,0,0,0,0,0,0,0,0,0,BUR,12,13/12/2020,DEF,True
"Eddie Nketiah  Edward Nketiah (Arsenal, Forward)",ARS,5.5,0,8,1,0,0,0,0,0,0,0,0,0,0,BUR,12,13/12/2020,FWD,True
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,1,90,0,0,0,0,0,0,0,1,0,0,0,BUR,12,13/12/2020,MID,True
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BUR,12,13/12/2020,DEF,True
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,1,56,0,0,0,0,0,0,0,0,0,0,1,BUR,12,13/12/2020,MID,True
"Gabriel Magalhães  Gabriel dos Santos Magalhães (Arsenal, Defender)",ARS,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BUR,12,13/12/2020,DEF,True
"Barnes (Ashley)  Ashley Barnes (Burnley, Forward)",BUR,5.5,0,32,1,0,0,0,0,0,0,0,0,0,0,ARS,12,13/12/2020,FWD,False
"Brady  Robert Brady (Burnley, Midfielder)",BUR,5.0,1,90,0,0,0,0,0,0,1,0,0,1,0,ARS,12,13/12/2020,MID,False
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,12,13/12/2020,MID,False
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,12,13/12/2020,DEF,False
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,12,13/12/2020,MID,False
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,12,13/12/2020,DEF,False
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,12,13/12/2020,GKP,False
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,1,58,0,1,0,0,0,0,0,0,0,0,0,ARS,12,13/12/2020,FWD,False
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,12,13/12/2020,DEF,False
"Taylor (Charlie)  Charlie Taylor (Burnley, Defender)",BUR,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,ARS,12,13/12/2020,DEF,False
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,0,20,1,0,0,0,0,0,0,0,0,0,0,ARS,12,13/12/2020,FWD,False
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,1,90,0,0,0,0,1,1,1,0,0,0,0,ARS,12,13/12/2020,MID,False
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,1,70,0,1,0,0,0,0,1,0,0,0,0,ARS,12,13/12/2020,FWD,False
