Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,0,0.27,-0.27,333.3,0,0.19,-0.19,473.7,0.46,-0.46,195.7,13/12/2020
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,0,0.16,-0.16,562.5,0,0.0,0.0,inf,0.16,-0.16,562.5,13/12/2020
"Clyne  Nathaniel Clyne (Crystal Palace, Defender)",CRY,4.5,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,13/12/2020
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,0,0.18,-0.18,494.4,0,0.11,-0.11,809.1,0.29,-0.29,306.9,13/12/2020
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/12/2020
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/12/2020
"McArthur  James McArthur (Crystal Palace, Midfielder)",CRY,4.5,0,0.18,-0.18,500.0,0,0.0,0.0,inf,0.18,-0.18,500.0,13/12/2020
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,0,0.08,-0.08,912.5,0,0.06,-0.06,1216.7,0.14,-0.14,521.4,13/12/2020
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/12/2020
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,0,0.04,-0.04,2250.0,1,0.98,0.02,91.8,1.02,-0.02,88.2,13/12/2020
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/12/2020
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,0,0.04,-0.04,2250.0,0,0.1,-0.1,900.0,0.14,-0.14,642.9,13/12/2020
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,0,0.02,-0.02,4500.0,0,0.19,-0.19,473.7,0.21,-0.21,428.6,13/12/2020
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,0,0.24,-0.24,375.0,0,0.0,0.0,inf,0.24,-0.24,375.0,13/12/2020
"Alli  Bamidele Alli (Tottenham Hotspur, Midfielder)",TOT,6.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/12/2020
"Aurier  Serge Aurier (Tottenham Hotspur, Defender)",TOT,5.0,0,0.06,-0.06,1500.0,0,0.03,-0.03,3000.0,0.09,-0.09,1000.0,13/12/2020
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,0,0.01,-0.01,8500.0,0,0.0,0.0,inf,0.01,-0.01,8500.0,13/12/2020
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,0,0.01,-0.01,600.0,0,0.0,0.0,inf,0.01,-0.01,600.0,13/12/2020
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,0,0.02,-0.02,4500.0,0,0.09,-0.09,1000.0,0.11,-0.11,818.2,13/12/2020
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,0,0.02,-0.02,4500.0,0,0.02,-0.02,4500.0,0.04,-0.04,2250.0,13/12/2020
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,0,0.04,-0.04,2250.0,1,0.29,0.71,310.3,0.33,0.67,272.7,13/12/2020
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,13/12/2020
"Lo Celso  Giovani Lo Celso (Tottenham Hotspur, Midfielder)",TOT,6.0,0,0.1,-0.1,230.0,0,0.0,0.0,inf,0.1,-0.1,230.0,13/12/2020
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,0,0.03,-0.03,2233.3,0,0.38,-0.38,176.3,0.41,-0.41,163.4,13/12/2020
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,0,0.04,-0.04,2100.0,0,0.06,-0.06,1400.0,0.1,-0.1,840.0,13/12/2020
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,13/12/2020
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,0.12,0.88,750.0,0,0.08,-0.08,1125.0,0.2,0.8,450.0,13/12/2020
