Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Abraham  Tammy Abraham (Chelsea, Forward)",CHE,6.5,0,22,1,0,0,0,0,0,0,0,0,0,0,EVE,12,12/12/2020,FWD,False
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,12,12/12/2020,DEF,False
"Gilmour  Billy Gilmour (Chelsea, Midfielder)",CHE,4.5,0,8,1,0,0,0,0,0,0,0,0,0,0,EVE,12,12/12/2020,MID,False
"Giroud  Olivier Giroud (Chelsea, Forward)",CHE,6.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,12,12/12/2020,FWD,False
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,1,68,0,1,0,0,0,0,0,1,0,0,0,EVE,12,12/12/2020,MID,False
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,0,1,0,1,0,EVE,12,12/12/2020,DEF,False
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,1,90,0,0,0,0,0,0,0,1,0,1,0,EVE,12,12/12/2020,MID,False
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,1,82,0,1,0,0,0,0,0,1,0,0,0,EVE,12,12/12/2020,MID,False
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,12,12/12/2020,GKP,False
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,12,12/12/2020,MID,False
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,12,12/12/2020,FWD,False
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,12,12/12/2020,DEF,False
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,0,1,0,1,0,EVE,12,12/12/2020,DEF,False
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,1,90,0,0,0,0,1,1,1,0,0,0,0,CHE,12,12/12/2020,FWD,True
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,0,4,1,0,0,0,0,0,0,0,0,0,0,CHE,12,12/12/2020,MID,True
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,1,90,0,0,0,0,0,0,1,0,0,1,0,CHE,12,12/12/2020,MID,True
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,12,12/12/2020,DEF,True
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,12,12/12/2020,DEF,True
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,1,86,0,1,0,0,0,0,1,0,0,0,0,CHE,12,12/12/2020,MID,True
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,12,12/12/2020,DEF,True
"Kenny  Jonjoe Kenny (Everton, Defender)",EVE,4.3,0,1,1,0,0,0,0,0,0,0,0,0,0,CHE,12,12/12/2020,DEF,True
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,12,12/12/2020,MID,True
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,12,12/12/2020,DEF,True
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,CHE,12,12/12/2020,GKP,True
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,1,83,0,1,1,0,0,0,1,0,0,0,0,CHE,12,12/12/2020,MID,True
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,0,7,1,0,0,0,0,0,0,0,0,0,0,CHE,12,12/12/2020,MID,True
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,1,89,0,1,0,0,0,0,1,0,0,1,0,CHE,12,12/12/2020,FWD,True
