Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,90,6,14,1,0,0,0,1,0,12,12,7.5,13/12/2020
"Aina  Ola Aina (Fulham, Defender)",FUL,4.3,90,6,9,0,0,0,0,1,0,13,13,6.9,13/12/2020
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,90,2,6,0,0,0,0,0,0,5,5,18.0,13/12/2020
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,90,11,0,0,0,0,0,0,0,19,19,4.7,13/12/2020
"Bryan (Joe)  Joe Bryan (Fulham, Defender)",FUL,4.5,2,1,0,0,0,0,0,0,2,5,5,0.4,13/12/2020
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,90,2,1,0,0,0,1,1,2,-4,-4,0.0,13/12/2020
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,90,7,6,0,0,1,0,0,0,32,8,11.3,13/12/2020
"Kamara  Aboubakar Kamara (Fulham, Midfielder)",FUL,4.8,16,1,0,0,0,0,0,0,0,-1,-1,0.0,13/12/2020
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,80,4,6,1,0,0,0,0,0,6,6,13.3,13/12/2020
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,74,3,1,0,0,0,1,1,1,9,9,8.2,13/12/2020
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,88,4,4,0,0,0,1,2,2,13,4,22.0,13/12/2020
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,10,1,0,0,0,0,0,0,0,3,3,3.3,13/12/2020
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,90,5,8,2,0,1,0,1,2,16,16,5.6,13/12/2020
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,90,7,5,0,0,0,0,0,2,10,10,9.0,13/12/2020
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,68,4,1,1,2,1,0,1,0,11,11,6.2,13/12/2020
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,90,4,1,0,4,0,1,2,2,13,13,6.9,13/12/2020
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,90,13,6,0,4,0,0,0,0,13,13,6.9,13/12/2020
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,90,4,3,0,6,0,1,2,3,15,15,6.0,13/12/2020
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,90,1,0,0,0,0,0,0,3,0,0,0.0,13/12/2020
"Matip  Joel Matip (Liverpool, Defender)",LIV,5.0,45,3,4,2,6,0,0,0,0,16,16,2.8,13/12/2020
"Minamino  Takumi Minamino (Liverpool, Midfielder)",LIV,5.5,45,0,1,1,6,0,0,0,1,12,12,3.8,13/12/2020
"Origi  Divock Origi (Liverpool, Forward)",LIV,5.0,6,0,0,0,0,0,0,0,0,3,3,2.0,13/12/2020
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,90,5,1,0,0,0,0,0,0,15,15,6.0,13/12/2020
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,90,2,3,1,6,1,0,1,1,17,17,5.3,13/12/2020
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,84,3,1,0,0,0,0,0,1,23,5,16.8,13/12/2020
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,90,12,7,3,6,0,0,0,1,25,25,3.6,13/12/2020
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,90,6,2,0,6,0,0,0,0,23,14,6.4,13/12/2020
"Williams (Neco)  Neco Williams (Liverpool, Defender)",LIV,4.0,22,2,0,0,0,0,0,0,2,3,3,7.3,13/12/2020
