Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,90,4,4,0,0,0,0,0,1,8,8,11.3,13/12/2020
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,90,2,3,1,0,0,0,0,0,7,7,12.9,13/12/2020
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,70,1,3,0,0,0,0,0,1,6,6,11.7,13/12/2020
"Berge  Sander Berge (Sheffield United, Midfielder)",SHU,4.9,90,6,1,1,0,0,0,0,2,4,4,22.5,13/12/2020
"Brewster  Rhian Brewster (Sheffield United, Forward)",SHU,4.2,30,0,1,0,0,0,0,0,0,-1,-1,0.0,13/12/2020
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,90,2,9,0,0,0,0,0,0,9,9,10.0,13/12/2020
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,90,3,2,2,0,0,0,1,0,11,11,8.2,13/12/2020
"Jagielka  Phil Jagielka (Sheffield United, Defender)",SHU,3.9,90,4,5,3,2,0,0,0,0,15,15,6.0,13/12/2020
"McBurnie  Oliver McBurnie (Sheffield United, Forward)",SHU,5.6,48,1,0,0,0,0,0,0,0,0,0,0.0,13/12/2020
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,42,1,1,1,0,0,0,1,0,4,4,10.5,13/12/2020
"Mousset  Lys Mousset (Sheffield United, Forward)",SHU,5.8,20,0,0,0,0,0,0,0,0,1,1,20.0,13/12/2020
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,90,19,1,0,0,0,0,0,1,20,20,4.5,13/12/2020
"Sharp  Billy Sharp (Sheffield United, Forward)",SHU,5.5,60,2,0,0,0,0,0,0,1,-1,-1,0.0,13/12/2020
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,90,4,4,0,0,1,0,1,0,4,4,22.5,13/12/2020
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,84,4,0,0,0,0,2,4,0,41,14,6.0,13/12/2020
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,90,3,1,1,2,0,0,0,1,22,4,22.5,13/12/2020
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,90,4,10,2,4,0,1,1,0,43,22,4.1,13/12/2020
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,90,2,1,2,4,1,0,0,0,26,14,6.4,13/12/2020
"Diallo  Ibrahima Diallo (Southampton, Midfielder)",SOU,4.5,4,1,0,0,0,0,0,0,1,4,4,1.0,13/12/2020
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,90,4,0,0,0,0,0,2,1,8,-1,0.0,13/12/2020
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,90,4,0,0,0,0,0,0,0,19,7,12.9,13/12/2020
"N'Lundulu  Daniel N&#039;Lundulu (Southampton, Forward)",SOU,4.5,6,0,1,0,0,0,0,0,0,2,2,3.0,13/12/2020
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,10,0,0,0,0,0,0,0,1,21,3,3.3,13/12/2020
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,86,8,4,1,4,0,1,2,1,28,19,4.5,13/12/2020
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,90,3,6,1,6,0,0,0,0,28,16,5.6,13/12/2020
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,80,5,1,0,0,0,0,0,2,6,6,13.3,13/12/2020
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,90,4,3,2,4,0,0,0,2,27,15,6.0,13/12/2020
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,90,12,0,0,4,0,0,4,0,16,16,5.6,13/12/2020
