Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Alzate  Steven Alzate (Brighton and Hove Albion, Midfielder)",BHA,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,MID,False
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,MID,False
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,DEF,False
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,0,5,1,0,0,0,0,0,0,0,0,0,0,FUL,13,16/12/2020,MID,False
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,11,1,0,0,0,0,0,0,0,0,0,0,FUL,13,16/12/2020,MID,False
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,85,0,1,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,MID,False
"Lamptey  Tariq Lamptey (Brighton and Hove Albion, Defender)",BHA,4.5,1,78,0,1,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,DEF,False
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,MID,False
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,GKP,False
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,1,79,0,1,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,MID,False
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,0,12,1,0,0,0,0,0,0,0,0,0,0,FUL,13,16/12/2020,DEF,False
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,DEF,False
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,FWD,False
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,FUL,13,16/12/2020,DEF,False
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,BHA,13,16/12/2020,DEF,True
"Aina  Ola Aina (Fulham, Defender)",FUL,4.3,1,90,0,0,0,0,0,0,1,0,0,0,0,BHA,13,16/12/2020,DEF,True
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,BHA,13,16/12/2020,DEF,True
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,BHA,13,16/12/2020,GKP,True
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,1,90,0,0,0,0,0,0,1,0,0,0,0,BHA,13,16/12/2020,MID,True
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,1,62,0,1,0,0,0,0,1,0,0,0,0,BHA,13,16/12/2020,FWD,True
"Kamara  Aboubakar Kamara (Fulham, Midfielder)",FUL,4.8,0,28,1,0,0,0,0,0,0,0,0,0,0,BHA,13,16/12/2020,MID,True
"Lemina  Mario Lemina (Fulham, Midfielder)",FUL,4.5,0,27,1,0,0,0,0,0,0,0,0,0,0,BHA,13,16/12/2020,MID,True
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,1,77,0,1,0,0,0,0,1,0,0,0,0,BHA,13,16/12/2020,MID,True
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,1,90,0,0,0,0,0,0,1,0,0,0,0,BHA,13,16/12/2020,MID,True
"Mitrovic  Aleksandar Mitrovic (Fulham, Forward)",FUL,5.5,0,13,1,0,0,0,0,0,0,0,0,0,0,BHA,13,16/12/2020,FWD,True
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,1,63,0,1,0,0,0,0,1,0,0,0,0,BHA,13,16/12/2020,MID,True
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,1,90,0,0,0,0,0,0,1,0,0,1,0,BHA,13,16/12/2020,DEF,True
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,1,90,0,0,0,0,0,0,1,0,0,0,0,BHA,13,16/12/2020,MID,True
