Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,90,6,2,0,4,2,0,2,2,29,17,5.3,16/12/2020
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,9,6,1,4,0,0,1,0,19,19,4.7,16/12/2020
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,84,3,2,0,0,0,0,1,1,29,5,16.8,16/12/2020
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,90,6,5,1,4,0,0,0,0,15,15,6.0,16/12/2020
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,4,4,0,4,1,0,0,1,29,14,6.4,16/12/2020
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,90,3,2,0,2,2,0,2,1,7,7,12.9,16/12/2020
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,90,5,0,0,2,2,0,4,0,40,13,6.9,16/12/2020
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,8,3,0,0,0,0,1,2,0,27,9,0.9,16/12/2020
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,89,6,0,0,4,1,1,4,0,21,12,7.4,16/12/2020
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,6,0,0,0,0,0,0,0,12,12,7.5,16/12/2020
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,82,3,0,1,4,0,0,3,1,45,12,6.8,16/12/2020
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,90,9,9,0,4,0,0,1,1,13,13,6.9,16/12/2020
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,6,0,1,0,0,0,0,0,0,2,2,3.0,16/12/2020
"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",LEE,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,16/12/2020
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,15,1,0,0,0,0,0,0,1,4,4,3.8,16/12/2020
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,74,5,3,0,2,0,0,0,2,6,6,12.3,16/12/2020
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,90,8,8,0,0,0,0,0,1,25,13,6.9,16/12/2020
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,90,9,1,0,0,0,0,0,0,19,19,4.7,16/12/2020
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,90,5,9,0,0,0,0,0,0,11,11,8.2,16/12/2020
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,75,5,2,0,0,1,0,3,1,21,12,6.3,16/12/2020
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,16,1,0,0,0,0,0,0,0,3,3,5.3,16/12/2020
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,90,4,8,0,0,0,0,0,1,2,2,45.0,16/12/2020
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,62,1,5,0,0,0,0,0,0,23,5,12.4,16/12/2020
"Krafth  Emil Krafth (Newcastle United, Defender)",NEW,4.5,28,2,3,2,0,0,0,0,0,8,8,3.5,16/12/2020
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,90,4,3,0,0,0,0,0,1,9,9,10.0,16/12/2020
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,90,7,2,0,0,0,0,1,0,9,9,10.0,16/12/2020
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,90,3,3,0,0,2,1,2,6,17,17,5.3,16/12/2020
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,90,3,3,0,0,0,1,3,1,11,2,45.0,16/12/2020
