Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,0,0.2,-0.2,400.0,0,0.02,-0.02,4000.0,0.22,-0.22,363.6,17/12/2020
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,0,0.02,-0.02,3700.0,0,0.09,-0.09,822.2,0.11,-0.11,672.7,17/12/2020
"Henderson (Dean)  Dean Henderson (Manchester United, Goalkeeper)",MUN,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/12/2020
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,17/12/2020
"Martial  Anthony Martial (Manchester United, Forward)",MUN,8.0,1,0.13,0.87,684.6,1,1.3,-0.3,68.5,1.43,0.57,62.2,17/12/2020
"Mata  Juan Mata (Manchester United, Midfielder)",MUN,5.0,0,0.0,0.0,inf,0,0.08,-0.08,200.0,0.08,-0.08,200.0,17/12/2020
"Matic  Nemanja Matic (Manchester United, Midfielder)",MUN,4.5,0,0.01,-0.01,9000.0,0,0.02,-0.02,4500.0,0.03,-0.03,3000.0,17/12/2020
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/12/2020
"Lindelof  Victor Nilsson-Lindelof (Manchester United, Defender)",MUN,5.0,1,0.01,0.99,9000.0,0,0.0,0.0,inf,0.01,0.99,9000.0,17/12/2020
"Pogba  Paul Pogba (Manchester United, Midfielder)",MUN,7.5,0,0.22,-0.22,409.1,0,0.0,0.0,inf,0.22,-0.22,409.1,17/12/2020
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,0,0.03,-0.03,3000.0,2,0.57,1.43,157.9,0.6,1.4,150.0,17/12/2020
"Alex Telles  Alex Nicolao Telles (Manchester United, Defender)",MUN,5.0,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,17/12/2020
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,17/12/2020
"van de Beek  Donny van de Beek (Manchester United, Midfielder)",MUN,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/12/2020
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,17/12/2020
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,17/12/2020
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,0,0.01,-0.01,9000.0,0,0.17,-0.17,529.4,0.18,-0.18,500.0,17/12/2020
"Berge  Sander Berge (Sheffield United, Midfielder)",SHU,4.9,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/12/2020
"Brewster  Rhian Brewster (Sheffield United, Forward)",SHU,4.2,0,0.03,-0.03,566.7,0,0.1,-0.1,170.0,0.13,-0.13,130.8,17/12/2020
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,1,0.57,0.43,128.1,0,0.05,-0.05,1460.0,0.62,0.38,117.7,17/12/2020
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,0,0.0,0.0,inf,0,0.05,-0.05,1800.0,0.05,-0.05,1800.0,17/12/2020
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,0,0.02,-0.02,4500.0,0,0.06,-0.06,1500.0,0.08,-0.08,1125.0,17/12/2020
"Jagielka  Phil Jagielka (Sheffield United, Defender)",SHU,3.9,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,17/12/2020
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,0,0.42,-0.42,214.3,2,0.96,1.04,93.8,1.38,0.62,65.2,17/12/2020
"Mousset  Lys Mousset (Sheffield United, Forward)",SHU,5.8,0,0.01,-0.01,2700.0,0,0.09,-0.09,300.0,0.1,-0.1,270.0,17/12/2020
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,17/12/2020
"Robinson (Jack)  Jack Robinson (Sheffield United, Defender)",SHU,4.2,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,17/12/2020
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,17/12/2020
