Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Abraham  Tammy Abraham (Chelsea, Forward)",CHE,6.5,0,19,1,0,0,0,0,0,0,1,0,0,0,WOL,13,15/12/2020,FWD,False
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,1,0,1,0,2,0,0,0,WOL,13,15/12/2020,DEF,False
"Giroud  Olivier Giroud (Chelsea, Forward)",CHE,6.5,1,71,0,1,1,0,0,0,0,1,0,0,0,WOL,13,15/12/2020,FWD,False
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,1,71,0,1,0,0,0,0,0,1,0,0,0,WOL,13,15/12/2020,MID,False
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WOL,13,15/12/2020,DEF,False
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,1,90,0,0,0,0,0,0,0,2,0,1,0,WOL,13,15/12/2020,MID,False
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,0,19,1,0,0,0,0,0,0,1,0,0,0,WOL,13,15/12/2020,MID,False
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,1,90,0,0,0,0,0,0,0,2,0,0,0,WOL,13,15/12/2020,GKP,False
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,1,90,0,0,0,0,0,0,0,2,0,1,0,WOL,13,15/12/2020,MID,False
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,1,90,0,0,0,0,0,0,0,2,0,0,0,WOL,13,15/12/2020,MID,False
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,1,90,0,0,0,0,0,0,0,2,0,0,0,WOL,13,15/12/2020,FWD,False
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WOL,13,15/12/2020,DEF,False
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,0,2,0,0,0,WOL,13,15/12/2020,DEF,False
"Boly  Willy Boly (Wolverhampton Wanderers, Defender)",WOL,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,13,15/12/2020,DEF,True
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,13,15/12/2020,DEF,True
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,1,45,0,1,0,0,0,0,0,0,0,0,0,CHE,13,15/12/2020,MID,True
"Vitor Ferreira  Vitor Machado Ferreira (Wolverhampton Wanderers, Midfielder)",WOL,4.7,0,1,1,0,0,1,0,1,0,0,0,0,0,CHE,13,15/12/2020,MID,True
"Marçal  Fernando Marçal de Oliveira (Wolverhampton Wanderers, Defender)",WOL,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,13,15/12/2020,DEF,True
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,1,90,0,0,1,0,0,0,0,1,0,0,0,CHE,13,15/12/2020,MID,True
"Otasowie  Owen Otasowie (Wolverhampton Wanderers, Midfielder)",WOL,4.5,0,45,1,0,0,1,0,1,0,1,0,0,0,CHE,13,15/12/2020,MID,True
"Podence  Daniel Podence (Wolverhampton Wanderers, Midfielder)",WOL,5.5,1,89,0,1,1,0,0,0,0,1,0,1,0,CHE,13,15/12/2020,MID,True
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,13,15/12/2020,DEF,True
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,1,90,0,0,0,0,0,0,0,1,0,1,0,CHE,13,15/12/2020,DEF,True
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,1,61,0,1,0,0,0,0,0,1,0,0,0,CHE,13,15/12/2020,FWD,True
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,0,29,1,0,0,0,0,0,0,0,0,0,0,CHE,13,15/12/2020,MID,True
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,13,15/12/2020,MID,True
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,13,15/12/2020,GKP,True
