Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,0,0.07,-0.07,1285.7,0,0.03,-0.03,3000.0,0.1,-0.1,900.0,20/12/2020
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,0,0.02,-0.02,4500.0,0,0.63,-0.63,142.9,0.65,-0.65,138.5,20/12/2020
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,0,0.08,-0.08,1125.0,0,0.04,-0.04,2250.0,0.12,-0.12,750.0,20/12/2020
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,0.48,-0.48,93.8,0,0.58,-0.58,77.6,1.06,-1.06,42.5,20/12/2020
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,0.39,-0.39,230.8,0,0.04,-0.04,2250.0,0.43,-0.43,209.3,20/12/2020
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,0.3,-0.3,300.0,0,0.02,-0.02,4500.0,0.32,-0.32,281.3,20/12/2020
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,0,0.04,-0.04,1650.0,0,0.55,-0.55,120.0,0.59,-0.59,111.9,20/12/2020
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,0,0.44,-0.44,204.5,0,0.16,-0.16,562.5,0.6,-0.6,150.0,20/12/2020
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.01,-0.01,4500.0,0,0.0,0.0,inf,0.01,-0.01,4500.0,20/12/2020
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.13,-0.13,692.3,0,0.15,-0.15,600.0,0.28,-0.28,321.4,20/12/2020
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,0,0.0,0.0,inf,1,0.57,0.43,42.1,0.57,0.43,42.1,20/12/2020
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.05,-0.05,1440.0,0,0.0,0.0,inf,0.05,-0.05,1440.0,20/12/2020
"Zeqiri  Andi Zeqiri (Brighton and Hove Albion, Forward)",BHA,5.0,0,0.01,-0.01,1800.0,0,0.09,-0.09,200.0,0.1,-0.1,180.0,20/12/2020
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"Bogle  Jayden Bogle (Sheffield United, Defender)",SHU,4.3,0,0.0,0.0,inf,1,0.09,0.91,400.0,0.09,0.91,400.0,20/12/2020
"Brewster  Rhian Brewster (Sheffield United, Forward)",SHU,4.2,0,0.01,-0.01,5400.0,0,0.0,0.0,inf,0.01,-0.01,5400.0,20/12/2020
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,0,0.04,-0.04,1425.0,0,0.32,-0.32,178.1,0.36,-0.36,158.3,20/12/2020
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,0,0.12,-0.12,333.3,0,0.01,-0.01,4000.0,0.13,-0.13,307.7,20/12/2020
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,1,0.07,0.93,1000.0,0,0.02,-0.02,3500.0,0.09,0.91,777.8,20/12/2020
"Osborn  Ben Osborn (Sheffield United, Midfielder)",SHU,4.7,0,0.02,-0.02,1000.0,0,0.0,0.0,inf,0.02,-0.02,1000.0,20/12/2020
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"Robinson (Jack)  Jack Robinson (Sheffield United, Defender)",SHU,4.2,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,0,0.01,-0.01,9000.0,0,0.1,-0.1,900.0,0.11,-0.11,818.2,20/12/2020
