Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,SHU,14,20/12/2020,MID,True
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,SHU,14,20/12/2020,FWD,True
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,1,90,0,0,0,0,0,0,0,1,0,1,0,SHU,14,20/12/2020,DEF,True
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,45,1,0,0,0,0,0,0,1,0,0,0,SHU,14,20/12/2020,MID,True
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,SHU,14,20/12/2020,MID,True
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,SHU,14,20/12/2020,MID,True
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,1,66,0,1,0,0,0,0,0,1,0,0,0,SHU,14,20/12/2020,FWD,True
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,SHU,14,20/12/2020,GKP,True
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,1,90,0,0,0,0,0,0,0,1,0,0,0,SHU,14,20/12/2020,MID,True
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,1,45,0,1,0,0,0,0,0,0,0,0,0,SHU,14,20/12/2020,DEF,True
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,SHU,14,20/12/2020,DEF,True
"Welbeck  Danny Welbeck (Brighton and Hove Albion, Forward)",BHA,6.0,0,24,1,0,1,0,0,0,0,0,0,0,0,SHU,14,20/12/2020,FWD,True
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,1,72,0,1,0,0,0,0,0,1,0,0,0,SHU,14,20/12/2020,DEF,True
"Zeqiri  Andi Zeqiri (Brighton and Hove Albion, Forward)",BHA,5.0,0,18,1,0,0,0,0,0,0,0,0,0,0,SHU,14,20/12/2020,FWD,True
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,14,20/12/2020,DEF,False
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,14,20/12/2020,DEF,False
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,1,90,0,0,0,0,0,0,0,1,0,1,0,BHA,14,20/12/2020,DEF,False
"Bogle  Jayden Bogle (Sheffield United, Defender)",SHU,4.3,0,36,1,0,1,0,0,0,0,1,0,0,0,BHA,14,20/12/2020,DEF,False
"Brewster  Rhian Brewster (Sheffield United, Forward)",SHU,4.2,1,54,0,1,0,0,0,0,0,0,0,0,0,BHA,14,20/12/2020,FWD,False
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,0,57,1,0,0,0,0,0,0,1,0,1,0,BHA,14,20/12/2020,MID,False
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,14,20/12/2020,DEF,False
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,1,33,0,1,0,0,0,0,0,0,0,0,0,BHA,14,20/12/2020,MID,False
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,1,40,0,0,0,0,0,0,0,0,0,0,1,BHA,14,20/12/2020,MID,False
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,1,70,0,1,0,1,0,1,1,0,0,1,0,BHA,14,20/12/2020,FWD,False
"Osborn  Ben Osborn (Sheffield United, Midfielder)",SHU,4.7,0,20,1,0,0,0,0,0,0,1,0,1,0,BHA,14,20/12/2020,MID,False
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,1,90,0,0,0,0,0,0,0,1,0,1,0,BHA,14,20/12/2020,GKP,False
"Robinson (Jack)  Jack Robinson (Sheffield United, Defender)",SHU,4.2,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,14,20/12/2020,DEF,False
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,BHA,14,20/12/2020,DEF,False
