Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Abraham  Tammy Abraham (Chelsea, Forward)",CHE,6.5,90,3,2,0,0,0,0,0,2,58,10,9.0,21/12/2020
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,90,9,6,1,4,0,0,0,1,28,16,5.6,21/12/2020
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,9,1,0,0,0,0,0,0,0,3,3,3.0,21/12/2020
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,66,5,6,0,4,0,0,0,0,10,10,6.6,21/12/2020
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,6,0,0,1,0,0,0,0,0,5,5,1.2,21/12/2020
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,90,7,2,0,6,0,1,1,0,19,19,4.7,21/12/2020
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,24,0,0,0,0,0,0,0,0,2,2,12.0,21/12/2020
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,90,6,0,0,0,0,0,0,0,20,8,11.3,21/12/2020
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,90,3,3,0,4,2,2,4,0,29,20,4.5,21/12/2020
"Emerson  Emerson Palmieri dos Santos (Chelsea, Defender)",CHE,4.7,81,7,4,2,0,1,0,0,0,23,11,7.4,21/12/2020
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,84,4,0,0,0,0,1,2,2,12,3,28.0,21/12/2020
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,90,3,1,0,0,0,1,1,1,7,-2,0.0,21/12/2020
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,90,1,8,1,6,0,0,0,0,29,17,5.3,21/12/2020
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,90,7,11,1,6,0,0,0,0,46,19,4.7,21/12/2020
"Balbuena  Fabián Balbuena (West Ham United, Defender)",WHU,4.1,90,1,6,0,2,0,0,0,0,11,11,8.2,21/12/2020
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,24,3,0,1,0,0,0,0,1,2,2,12.0,21/12/2020
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,89,10,1,2,0,1,0,0,3,14,14,6.4,21/12/2020
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,90,7,4,3,2,1,0,2,1,23,23,3.9,21/12/2020
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,90,4,1,2,2,1,0,1,0,14,14,6.4,21/12/2020
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,90,8,0,0,0,0,0,0,0,16,16,5.6,21/12/2020
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,66,5,1,0,0,0,0,0,0,4,4,16.5,21/12/2020
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,21/12/2020
"Haller  Sébastien Haller (West Ham United, Forward)",WHU,6.1,90,1,2,0,0,0,0,0,0,-4,-4,0.0,21/12/2020
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,90,6,2,1,4,0,0,0,0,13,13,6.9,21/12/2020
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,90,3,4,1,4,0,0,0,0,13,13,6.9,21/12/2020
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,90,3,1,1,6,0,0,0,1,14,14,6.4,21/12/2020
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,90,10,3,2,0,0,0,0,1,14,14,6.4,21/12/2020
