Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Abraham  Tammy Abraham (Chelsea, Forward)",CHE,6.5,0,0.01,-0.01,9000.0,2,0.89,1.11,101.1,0.9,1.1,100.0,21/12/2020
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,21/12/2020
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/12/2020
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,0,0.03,-0.03,2200.0,0,0.03,-0.03,2200.0,0.06,-0.06,1100.0,21/12/2020
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/12/2020
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,21/12/2020
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,0,0.01,-0.01,2400.0,0,0.0,0.0,inf,0.01,-0.01,2400.0,21/12/2020
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/12/2020
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,1,0.63,0.37,142.9,0,0.01,-0.01,9000.0,0.64,0.36,140.6,21/12/2020
"Emerson  Emerson Palmieri dos Santos (Chelsea, Defender)",CHE,4.7,0,0.03,-0.03,2700.0,0,0.0,0.0,inf,0.03,-0.03,2700.0,21/12/2020
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,0,0.1,-0.1,840.0,0,0.62,-0.62,135.5,0.72,-0.72,116.7,21/12/2020
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,1,0.03,0.97,3000.0,0,0.6,-0.6,150.0,0.63,0.37,142.9,21/12/2020
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/12/2020
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,0,0.04,-0.04,2250.0,1,0.1,0.9,900.0,0.14,0.86,642.9,21/12/2020
"Balbuena  Fabián Balbuena (West Ham United, Defender)",WHU,4.1,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,21/12/2020
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,0,0.0,0.0,inf,0,0.1,-0.1,240.0,0.1,-0.1,240.0,21/12/2020
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,0,0.31,-0.31,287.1,0,0.0,0.0,inf,0.31,-0.31,287.1,21/12/2020
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,0,0.25,-0.25,360.0,0,0.0,0.0,inf,0.25,-0.25,360.0,21/12/2020
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,0,0.21,-0.21,428.6,0,0.04,-0.04,2250.0,0.25,-0.25,360.0,21/12/2020
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/12/2020
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,0,0.03,-0.03,2200.0,0,0.05,-0.05,1320.0,0.08,-0.08,825.0,21/12/2020
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,21/12/2020
"Haller  Sébastien Haller (West Ham United, Forward)",WHU,6.1,0,0.02,-0.02,4500.0,0,0.08,-0.08,1125.0,0.1,-0.1,900.0,21/12/2020
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,0,0.1,-0.1,900.0,0,0.0,0.0,inf,0.1,-0.1,900.0,21/12/2020
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,0,0.02,-0.02,4500.0,0,0.12,-0.12,750.0,0.14,-0.14,642.9,21/12/2020
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,21/12/2020
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,0,0.11,-0.11,818.2,0,0.12,-0.12,750.0,0.23,-0.23,391.3,21/12/2020
