Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,90,3,1,0,6,0,0,1,0,12,12,7.5,19/12/2020
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,90,6,1,1,4,0,0,1,2,15,15,6.0,19/12/2020
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,64,2,3,1,6,0,0,0,0,12,12,5.3,19/12/2020
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,90,5,2,0,4,0,0,0,0,5,5,18.0,19/12/2020
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,14,0,0,1,0,0,0,1,1,6,6,2.3,19/12/2020
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,90,7,0,0,0,0,0,0,0,10,10,9.0,19/12/2020
"Luiz  David Luiz Moreira Marinho (Arsenal, Defender)",ARS,5.4,90,4,4,0,6,0,0,0,0,14,14,6.4,19/12/2020
"Maitland-Niles  Ainsley Maitland-Niles (Arsenal, Defender)",ARS,5.5,90,8,3,1,6,2,0,1,1,27,18,5.0,19/12/2020
"Gabriel Martinelli  Gabriel Teodoro Martinelli Silva (Arsenal, Midfielder)",ARS,5.5,19,2,1,0,0,0,0,0,2,4,4,4.8,19/12/2020
"Eddie Nketiah  Edward Nketiah (Arsenal, Forward)",ARS,5.5,76,1,0,0,0,0,0,0,1,3,3,25.3,19/12/2020
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,71,4,1,0,4,0,0,0,0,26,8,8.9,19/12/2020
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,90,3,2,0,4,0,0,1,1,9,9,10.0,19/12/2020
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,90,2,3,0,4,3,0,4,0,14,14,6.4,19/12/2020
"Willock  Joseph Willock (Arsenal, Midfielder)",ARS,6.0,26,2,1,0,0,0,0,1,1,-2,-2,0.0,19/12/2020
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,89,2,2,0,0,0,0,0,1,7,-2,0.0,19/12/2020
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,7,0,0,0,0,0,0,0,0,3,3,2.3,19/12/2020
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,90,7,0,0,0,0,0,1,0,3,3,30.0,19/12/2020
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,90,3,1,1,4,0,0,0,1,13,13,6.9,19/12/2020
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,90,6,8,0,4,1,0,0,0,17,17,5.3,19/12/2020
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,90,3,4,0,4,1,0,1,0,14,14,6.4,19/12/2020
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,83,3,1,0,0,1,1,1,0,11,11,7.5,19/12/2020
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,90,1,6,0,4,0,0,0,0,12,12,7.5,19/12/2020
"Kenny  Jonjoe Kenny (Everton, Defender)",EVE,4.3,1,0,1,0,0,0,0,0,0,3,3,0.3,19/12/2020
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,90,3,5,0,6,0,0,0,0,29,14,6.4,19/12/2020
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,90,5,1,0,0,0,0,0,0,9,9,10.0,19/12/2020
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,90,4,2,1,6,0,0,2,3,26,17,5.3,19/12/2020
"Tosun  Cenk Tosun (Everton, Forward)",EVE,6.0,1,0,0,0,0,0,0,0,0,3,3,0.3,19/12/2020
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,89,11,1,0,0,0,0,0,2,4,4,22.3,19/12/2020
