Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Willian  Willian Borges Da Silva (Arsenal, Midfielder)",ARS,6.5,0,0.06,-0.06,1500.0,0,0.03,-0.03,3000.0,0.09,-0.09,1000.0,19/12/2020
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,19/12/2020
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,0,0.02,-0.02,3200.0,0,0.0,0.0,inf,0.02,-0.02,3200.0,19/12/2020
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,19/12/2020
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,0,0.01,-0.01,1400.0,0,0.06,-0.06,233.3,0.07,-0.07,200.0,19/12/2020
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/12/2020
"Luiz  David Luiz Moreira Marinho (Arsenal, Defender)",ARS,5.4,0,0.03,-0.03,3000.0,0,0.04,-0.04,2250.0,0.07,-0.07,1285.7,19/12/2020
"Maitland-Niles  Ainsley Maitland-Niles (Arsenal, Defender)",ARS,5.5,0,0.18,-0.18,500.0,0,0.0,0.0,inf,0.18,-0.18,500.0,19/12/2020
"Gabriel Martinelli  Gabriel Teodoro Martinelli Silva (Arsenal, Midfielder)",ARS,5.5,0,0.01,-0.01,1900.0,0,0.05,-0.05,380.0,0.06,-0.06,316.7,19/12/2020
"Eddie Nketiah  Edward Nketiah (Arsenal, Forward)",ARS,5.5,0,0.0,0.0,inf,0,0.11,-0.11,690.9,0.11,-0.11,690.9,19/12/2020
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,0,0.07,-0.07,1014.3,1,0.82,0.18,86.6,0.89,0.11,79.8,19/12/2020
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,0,0.03,-0.03,3000.0,0,0.18,-0.18,500.0,0.21,-0.21,428.6,19/12/2020
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,0,0.18,-0.18,500.0,0,0.0,0.0,inf,0.18,-0.18,500.0,19/12/2020
"Willock  Joseph Willock (Arsenal, Midfielder)",ARS,6.0,0,0.02,-0.02,1300.0,0,0.09,-0.09,288.9,0.11,-0.11,236.4,19/12/2020
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,0,0.01,-0.01,8900.0,0,0.24,-0.24,370.8,0.25,-0.25,356.0,19/12/2020
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/12/2020
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,19/12/2020
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,19/12/2020
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,19/12/2020
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,0,0.06,-0.06,1500.0,0,0.07,-0.07,1285.7,0.13,-0.13,692.3,19/12/2020
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,0.06,-0.06,1383.3,0,0.05,-0.05,1660.0,0.11,-0.11,754.5,19/12/2020
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,0,0.01,-0.01,9000.0,0,0.02,-0.02,4500.0,0.03,-0.03,3000.0,19/12/2020
"Kenny  Jonjoe Kenny (Everton, Defender)",EVE,4.3,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/12/2020
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,0,0.01,-0.01,9000.0,1,0.08,0.92,1125.0,0.09,0.91,1000.0,19/12/2020
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/12/2020
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,1,0.11,0.89,818.2,0,0.17,-0.17,529.4,0.28,0.72,321.4,19/12/2020
"Tosun  Cenk Tosun (Everton, Forward)",EVE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,19/12/2020
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,0,0.02,-0.02,4450.0,0,0.0,0.0,inf,0.02,-0.02,4450.0,19/12/2020
