Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,0,0.01,-0.01,9000.0,0,0.05,-0.05,1800.0,0.06,-0.06,1500.0,20/12/2020
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,0,0.15,-0.15,600.0,0.15,-0.15,600.0,20/12/2020
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,0,0.0,0.0,inf,0,0.57,-0.57,157.9,0.57,-0.57,157.9,20/12/2020
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,1,0.08,0.92,900.0,0.08,0.92,900.0,20/12/2020
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,0,0.01,-0.01,9000.0,1,0.08,0.92,1125.0,0.09,0.91,1000.0,20/12/2020
"Davis (Leif)  Leif Davis (Leeds United, Defender)",LEE,3.8,0,0.01,-0.01,1800.0,0,0.0,0.0,inf,0.01,-0.01,1800.0,20/12/2020
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,2,0.19,1.81,473.7,0,0.33,-0.33,272.7,0.52,1.48,173.1,20/12/2020
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,0,0.19,-0.19,473.7,0,0.39,-0.39,230.8,0.58,-0.58,155.2,20/12/2020
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,0,0.44,-0.44,102.3,0,0.0,0.0,inf,0.44,-0.44,102.3,20/12/2020
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,0,0.35,-0.35,257.1,0,0.05,-0.05,1800.0,0.4,-0.4,225.0,20/12/2020
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",LEE,4.5,0,0.01,-0.01,4500.0,0,0.0,0.0,inf,0.01,-0.01,4500.0,20/12/2020
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,0,0.01,-0.01,4500.0,0,0.07,-0.07,642.9,0.08,-0.08,562.5,20/12/2020
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,1,0.15,0.85,473.3,2,1.06,0.94,67.0,1.21,1.79,58.7,20/12/2020
"Cavani  Edinson Cavani (Manchester United, Forward)",MUN,8.5,0,0.0,0.0,inf,0,0.31,-0.31,61.3,0.31,-0.31,61.3,20/12/2020
"De Gea  David De Gea (Manchester United, Goalkeeper)",MUN,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"James (Daniel)  Daniel James (Manchester United, Midfielder)",MUN,6.0,0,0.07,-0.07,1285.7,1,0.35,0.65,257.1,0.42,0.58,214.3,20/12/2020
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,0,0.01,-0.01,9000.0,0,0.13,-0.13,692.3,0.14,-0.14,642.9,20/12/2020
"Martial  Anthony Martial (Manchester United, Forward)",MUN,8.0,2,0.45,1.55,200.0,0,0.58,-0.58,155.2,1.03,0.97,87.4,20/12/2020
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,1,0.03,0.97,2966.7,2,0.46,1.54,193.5,0.49,2.51,181.6,20/12/2020
"Lindelof  Victor Nilsson-Lindelof (Manchester United, Defender)",MUN,5.0,0,0.0,0.0,inf,1,0.26,0.74,346.2,0.26,0.74,346.2,20/12/2020
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,0,0.1,-0.1,710.0,0,0.14,-0.14,507.1,0.24,-0.24,295.8,20/12/2020
"Fred  Frederico Rodrigues de Paula Santos (Manchester United, Midfielder)",MUN,5.0,0,0.11,-0.11,818.2,0,0.33,-0.33,272.7,0.44,-0.44,204.5,20/12/2020
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,0,0.1,-0.1,600.0,0,0.0,0.0,inf,0.1,-0.1,600.0,20/12/2020
"Alex Telles  Alex Nicolao Telles (Manchester United, Defender)",MUN,5.0,0,0.06,-0.06,500.0,0,0.05,-0.05,600.0,0.11,-0.11,272.7,20/12/2020
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,20/12/2020
"van de Beek  Donny van de Beek (Manchester United, Midfielder)",MUN,6.0,0,0.02,-0.02,950.0,0,0.0,0.0,inf,0.02,-0.02,950.0,20/12/2020
