Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,3,2,0,2,1,0,1,1,24,12,7.5,20/12/2020
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,90,7,0,0,4,1,0,0,2,51,12,7.5,20/12/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,7,0,0,4,0,1,8,4,40,22,4.1,20/12/2020
"Hause  Kortney Hause (Aston Villa, Defender)",AVL,4.5,90,4,5,0,4,0,0,0,0,21,9,10.0,20/12/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,5,0,0,0,0,0,0,0,20,8,11.3,20/12/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,9,1,4,4,0,0,0,2,11,11,8.2,20/12/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,10,4,1,2,0,0,1,0,25,13,6.9,20/12/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,90,10,2,1,6,0,0,2,1,18,18,5.0,20/12/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,6,5,0,4,0,0,2,0,28,16,5.6,20/12/2020
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,90,4,2,0,6,2,1,2,3,49,22,4.1,20/12/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,1,1,0,0,0,0,0,1,0,0,0.0,20/12/2020
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,90,4,11,0,0,0,0,0,0,6,6,15.0,20/12/2020
"Austin (Charlie)  Charlie Austin (West Bromwich Albion, Forward)",WBA,5.1,12,0,0,0,0,0,0,0,0,3,3,4.0,20/12/2020
"Diangana  Grady Diangana (West Bromwich Albion, Midfielder)",WBA,5.0,78,5,0,0,0,0,0,0,2,4,4,19.5,20/12/2020
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,90,1,6,0,0,0,0,0,1,8,8,11.3,20/12/2020
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,90,5,4,0,0,0,0,0,0,8,8,11.3,20/12/2020
"Gibbs  Kieran Gibbs (West Bromwich Albion, Defender)",WBA,4.3,90,6,7,0,0,0,0,0,1,12,12,7.5,20/12/2020
"Grant (Karlan)  Karlan Grant (West Bromwich Albion, Forward)",WBA,5.6,83,3,3,0,0,0,0,0,2,2,2,41.5,20/12/2020
"Ivanovic  Branislav Ivanovic (West Bromwich Albion, Defender)",WBA,4.4,12,1,3,0,0,0,0,0,0,4,4,3.0,20/12/2020
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,90,13,1,0,0,0,0,0,0,24,24,3.8,20/12/2020
"Livermore  Jake Livermore (West Bromwich Albion, Midfielder)",WBA,4.7,37,7,2,0,0,0,0,0,0,-5,-5,0.0,20/12/2020
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,90,2,6,2,0,0,0,0,0,13,13,6.9,20/12/2020
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,78,4,0,0,0,0,0,0,2,3,3,26.0,20/12/2020
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,7,0,0,0,0,0,0,0,0,3,3,2.3,20/12/2020
"Sawyers  Romaine Sawyers (West Bromwich Albion, Midfielder)",WBA,4.6,90,7,1,2,4,1,0,0,1,16,16,5.6,20/12/2020
