Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,0,0.21,-0.21,428.6,0,0.05,-0.05,1800.0,0.26,-0.26,346.2,26/12/2020
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,0,0.0,0.0,inf,0,0.04,-0.04,2250.0,0.04,-0.04,2250.0,26/12/2020
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,0,0.0,0.0,inf,0,0.07,-0.07,1285.7,0.07,-0.07,1285.7,26/12/2020
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,0,0.01,-0.01,8900.0,1,0.96,0.04,92.7,0.97,0.03,91.8,26/12/2020
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Gabriel Martinelli  Gabriel Teodoro Martinelli Silva (Arsenal, Midfielder)",ARS,5.5,0,0.01,-0.01,7100.0,0,0.28,-0.28,253.6,0.29,-0.29,244.8,26/12/2020
"Marí  Pablo Marí (Arsenal, Defender)",ARS,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Mustafi  Shkodran Mustafi (Arsenal, Defender)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Pepe  Nicolas Pepe (Arsenal, Midfielder)",ARS,7.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,0,0.09,-0.09,1000.0,1,0.07,0.93,1285.7,0.16,0.84,562.5,26/12/2020
"Smith-Rowe  Emile Smith-Rowe (Arsenal, Midfielder)",ARS,5.5,1,0.02,0.98,3250.0,0,0.44,-0.44,147.7,0.46,0.54,141.3,26/12/2020
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,26/12/2020
"Willock  Joseph Willock (Arsenal, Midfielder)",ARS,6.0,0,0.02,-0.02,1250.0,0,0.07,-0.07,357.1,0.09,-0.09,277.8,26/12/2020
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,0,0.05,-0.05,1800.0,1,0.08,0.92,1125.0,0.13,0.87,692.3,26/12/2020
"Abraham  Tammy Abraham (Chelsea, Forward)",CHE,6.5,0,0.01,-0.01,9000.0,1,0.82,0.18,109.8,0.83,0.17,108.4,26/12/2020
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,26/12/2020
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,0,0.05,-0.05,900.0,0,0.79,-0.79,57.0,0.84,-0.84,53.6,26/12/2020
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,1,0.67,0.33,67.2,0,0.05,-0.05,900.0,0.72,0.28,62.5,26/12/2020
"James (Reece)  Reece James (Chelsea, Defender)",CHE,5.5,0,0.19,-0.19,473.7,0,0.02,-0.02,4500.0,0.21,-0.21,428.6,26/12/2020
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,0,0.02,-0.02,3700.0,0,0.0,0.0,inf,0.02,-0.02,3700.0,26/12/2020
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,0,0.13,-0.13,692.3,0,0.14,-0.14,642.9,0.27,-0.27,333.3,26/12/2020
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,0,0.14,-0.14,642.9,0,0.15,-0.15,600.0,0.29,-0.29,310.3,26/12/2020
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,0,0.01,-0.01,4500.0,0,0.13,-0.13,346.2,0.14,-0.14,321.4,26/12/2020
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,0,0.01,-0.01,9000.0,0,0.15,-0.15,600.0,0.16,-0.16,562.5,26/12/2020
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,0,0.01,-0.01,9000.0,0,0.35,-0.35,257.1,0.36,-0.36,250.0,26/12/2020
