Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,6,8,0,0,2,0,1,0,21,9,10.0,26/12/2020
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,86,4,2,0,0,1,1,2,6,29,11,7.8,26/12/2020
"Elmohamady  Ahmed Elmohamady (Aston Villa, Defender)",AVL,4.2,4,0,0,0,0,0,0,0,0,3,3,1.3,26/12/2020
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,6,1,0,2,0,2,6,2,15,15,6.0,26/12/2020
"Hause  Kortney Hause (Aston Villa, Defender)",AVL,4.5,90,2,12,0,0,0,0,0,0,36,12,7.5,26/12/2020
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,42,2,2,0,0,0,0,0,0,4,4,10.5,26/12/2020
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,13,0,0,0,0,0,0,0,34,22,4.1,26/12/2020
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,5,2,0,0,0,0,0,1,5,5,18.0,26/12/2020
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,45,2,2,0,0,0,0,0,0,-13,-13,0.0,26/12/2020
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,1,0,0,0,0,0,0,0,0,3,3,0.3,26/12/2020
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,89,7,5,0,4,0,0,0,2,10,10,8.9,26/12/2020
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,7,5,0,0,0,0,0,1,21,9,10.0,26/12/2020
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,48,5,0,0,0,0,1,3,2,29,8,6.0,26/12/2020
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,4,0,0,0,1,1,3,0,26,-1,0.0,26/12/2020
"Batshuayi  Michy Batshuayi (Crystal Palace, Forward)",CRY,5.5,15,0,0,0,0,1,0,2,0,6,6,2.5,26/12/2020
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,90,1,2,0,0,0,0,1,0,2,2,45.0,26/12/2020
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,90,5,3,0,6,0,0,0,0,13,13,6.9,26/12/2020
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,90,4,0,1,4,0,0,1,4,11,11,8.2,26/12/2020
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,90,9,0,0,0,0,0,0,0,21,21,4.3,26/12/2020
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,90,9,4,3,4,0,0,0,0,19,19,4.7,26/12/2020
"McArthur  James McArthur (Crystal Palace, Midfielder)",CRY,4.5,75,14,1,0,4,0,0,1,3,15,15,5.0,26/12/2020
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,69,5,2,1,4,0,0,0,0,7,7,9.9,26/12/2020
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,21,2,0,0,0,0,0,1,0,3,3,7.0,26/12/2020
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,82,3,2,0,0,0,0,0,1,-3,-3,0.0,26/12/2020
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,8,0,0,0,0,1,0,1,0,4,4,2.0,26/12/2020
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,90,7,3,0,4,0,0,1,0,13,13,6.9,26/12/2020
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,90,6,6,1,4,0,0,0,0,11,11,8.2,26/12/2020
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,90,2,0,0,0,2,0,0,1,0,0,0.0,26/12/2020
