Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Barnes (Ashley)  Ashley Barnes (Burnley, Forward)",BUR,5.5,1,90,0,0,0,0,0,0,0,1,0,1,0,LEE,15,27/12/2020,FWD,False
"Benson  Josh Benson (Burnley, Midfielder)",BUR,4.5,1,74,0,1,0,0,0,0,0,1,0,0,0,LEE,15,27/12/2020,MID,False
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,15,27/12/2020,MID,False
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,15,27/12/2020,DEF,False
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,15,27/12/2020,DEF,False
"Pieters  Erik Pieters (Burnley, Defender)",BUR,4.5,1,74,0,1,0,0,0,0,0,1,0,0,0,LEE,15,27/12/2020,DEF,False
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,15,27/12/2020,GKP,False
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,0,16,1,0,0,0,0,0,0,0,0,0,0,LEE,15,27/12/2020,FWD,False
"Stephens (Dale)  Dale Stephens (Burnley, Midfielder)",BUR,4.5,0,16,1,0,0,0,0,0,0,0,0,0,0,LEE,15,27/12/2020,MID,False
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,1,90,0,0,0,0,0,0,0,1,0,1,0,LEE,15,27/12/2020,DEF,False
"Taylor (Charlie)  Charlie Taylor (Burnley, Defender)",BUR,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,15,27/12/2020,DEF,False
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,1,90,0,0,0,0,0,0,0,1,0,1,0,LEE,15,27/12/2020,MID,False
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,1,90,0,0,0,0,0,0,0,1,0,0,0,LEE,15,27/12/2020,FWD,False
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,15,27/12/2020,DEF,True
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,15,27/12/2020,DEF,True
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,1,90,0,0,1,0,0,0,1,0,0,0,0,BUR,15,27/12/2020,FWD,True
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,15,27/12/2020,DEF,True
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,1,70,0,1,0,0,0,0,1,0,0,0,0,BUR,15,27/12/2020,MID,True
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,15,27/12/2020,MID,True
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,0,31,1,0,0,0,0,0,0,0,0,0,0,BUR,15,27/12/2020,MID,True
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,1,66,0,1,0,0,0,0,1,0,0,0,0,BUR,15,27/12/2020,MID,True
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,15,27/12/2020,GKP,True
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,1,59,0,1,0,0,0,0,0,0,0,0,0,BUR,15,27/12/2020,FWD,True
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,15,27/12/2020,MID,True
"Poveda-Ocampo  Ian Carlo Poveda-Ocampo (Leeds United, Midfielder)",LEE,4.5,0,20,1,0,0,0,0,0,0,0,0,0,0,BUR,15,27/12/2020,MID,True
"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",LEE,4.5,0,24,1,0,0,0,0,0,0,0,0,0,0,BUR,15,27/12/2020,MID,True
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,BUR,15,27/12/2020,DEF,True
