Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,90,2,1,1,6,3,0,4,1,17,17,5.3,27/12/2020
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,89,4,0,0,2,0,0,0,0,3,3,29.7,27/12/2020
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,90,9,2,1,6,1,0,1,1,18,18,5.0,27/12/2020
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,83,2,0,0,6,0,0,0,4,12,12,6.9,27/12/2020
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,90,4,1,1,2,0,0,1,1,28,10,9.0,27/12/2020
"Matip  Joel Matip (Liverpool, Defender)",LIV,5.0,60,4,4,3,6,0,1,1,0,43,22,2.7,27/12/2020
"Origi  Divock Origi (Liverpool, Forward)",LIV,5.0,1,0,0,0,0,0,0,0,0,3,3,0.3,27/12/2020
"Oxlade-Chamberlain  Alex Oxlade-Chamberlain (Liverpool, Midfielder)",LIV,6.0,7,0,0,0,0,0,1,1,0,5,5,1.4,27/12/2020
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,90,10,0,0,0,0,0,0,0,13,13,6.9,27/12/2020
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,90,4,1,1,2,3,0,1,0,13,13,6.9,27/12/2020
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,90,5,0,0,6,0,0,1,1,6,6,15.0,27/12/2020
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,90,10,5,0,4,0,0,0,0,14,14,6.4,27/12/2020
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,90,2,2,0,4,1,0,3,0,14,14,6.4,27/12/2020
"Rhys Williams  Rhys Williams (Liverpool, Defender)",LIV,4.5,30,3,2,0,0,0,0,0,0,3,3,10.0,27/12/2020
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,90,4,8,0,0,0,0,0,0,23,11,8.2,27/12/2020
"Austin (Charlie)  Charlie Austin (West Bromwich Albion, Forward)",WBA,5.1,12,0,1,0,0,0,0,0,0,3,3,4.0,27/12/2020
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,17,0,1,1,0,1,1,1,0,17,8,2.1,27/12/2020
"Diangana  Grady Diangana (West Bromwich Albion, Midfielder)",WBA,5.0,90,6,4,1,0,0,0,0,0,6,6,15.0,27/12/2020
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,90,0,11,1,0,1,0,1,0,12,12,7.5,27/12/2020
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,89,11,5,0,0,0,0,0,1,10,10,8.9,27/12/2020
"Gibbs  Kieran Gibbs (West Bromwich Albion, Defender)",WBA,4.3,90,0,10,1,0,0,0,0,0,13,13,6.9,27/12/2020
"Grant (Karlan)  Karlan Grant (West Bromwich Albion, Forward)",WBA,5.6,78,2,0,0,0,0,0,0,0,2,2,39.0,27/12/2020
"Ivanovic  Branislav Ivanovic (West Bromwich Albion, Defender)",WBA,4.4,1,0,0,0,0,0,0,0,0,3,3,0.3,27/12/2020
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,90,8,0,0,0,0,0,0,0,10,10,9.0,27/12/2020
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,90,4,9,1,0,0,0,0,0,9,9,10.0,27/12/2020
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,90,5,4,0,0,0,0,0,1,3,3,30.0,27/12/2020
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,73,8,3,0,0,1,0,1,0,11,11,6.6,27/12/2020
"Sawyers  Romaine Sawyers (West Bromwich Albion, Midfielder)",WBA,4.6,90,12,1,1,2,0,1,1,1,19,19,4.7,27/12/2020
