Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,0,0.52,-0.52,173.1,0,0.16,-0.16,562.5,0.68,-0.68,132.4,27/12/2020
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,0,0.17,-0.17,523.5,0,0.28,-0.28,317.9,0.45,-0.45,197.8,27/12/2020
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,0,0.27,-0.27,333.3,0,0.03,-0.03,3000.0,0.3,-0.3,300.0,27/12/2020
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,0,0.06,-0.06,1383.3,0,0.0,0.0,inf,0.06,-0.06,1383.3,27/12/2020
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,0,0.03,-0.03,3000.0,1,0.75,0.25,120.0,0.78,0.22,115.4,27/12/2020
"Matip  Joel Matip (Liverpool, Defender)",LIV,5.0,1,0.27,0.73,222.2,0,0.0,0.0,inf,0.27,0.73,222.2,27/12/2020
"Origi  Divock Origi (Liverpool, Forward)",LIV,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/12/2020
"Oxlade-Chamberlain  Alex Oxlade-Chamberlain (Liverpool, Midfielder)",LIV,6.0,0,0.19,-0.19,36.8,0,0.06,-0.06,116.7,0.25,-0.25,28.0,27/12/2020
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/12/2020
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,27/12/2020
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,0,0.2,-0.2,450.0,0,0.15,-0.15,600.0,0.35,-0.35,257.1,27/12/2020
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,0,0.03,-0.03,3000.0,0,0.02,-0.02,4500.0,0.05,-0.05,1800.0,27/12/2020
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,0,0.17,-0.17,529.4,0,0.05,-0.05,1800.0,0.22,-0.22,409.1,27/12/2020
"Rhys Williams  Rhys Williams (Liverpool, Defender)",LIV,4.5,0,0.0,0.0,inf,0,0.04,-0.04,750.0,0.04,-0.04,750.0,27/12/2020
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,0,0.0,0.0,inf,1,0.07,0.93,1285.7,0.07,0.93,1285.7,27/12/2020
"Austin (Charlie)  Charlie Austin (West Bromwich Albion, Forward)",WBA,5.1,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/12/2020
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,1,0.1,0.9,170.0,0,0.0,0.0,inf,0.1,0.9,170.0,27/12/2020
"Diangana  Grady Diangana (West Bromwich Albion, Midfielder)",WBA,5.0,0,0.0,0.0,inf,0,0.06,-0.06,1500.0,0.06,-0.06,1500.0,27/12/2020
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,27/12/2020
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,0,0.06,-0.06,1483.3,0,0.0,0.0,inf,0.06,-0.06,1483.3,27/12/2020
"Gibbs  Kieran Gibbs (West Bromwich Albion, Defender)",WBA,4.3,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/12/2020
"Grant (Karlan)  Karlan Grant (West Bromwich Albion, Forward)",WBA,5.6,0,0.0,0.0,inf,0,0.41,-0.41,190.2,0.41,-0.41,190.2,27/12/2020
"Ivanovic  Branislav Ivanovic (West Bromwich Albion, Defender)",WBA,4.4,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/12/2020
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/12/2020
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,27/12/2020
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,27/12/2020
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,0,0.03,-0.03,2433.3,0,0.0,0.0,inf,0.03,-0.03,2433.3,27/12/2020
"Sawyers  Romaine Sawyers (West Bromwich Albion, Midfielder)",WBA,4.6,0,0.1,-0.1,900.0,0,0.03,-0.03,3000.0,0.13,-0.13,692.3,27/12/2020
