Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Aguero  Sergio Aguero (Manchester City, Forward)",MCI,10.3,13,0,0,0,0,0,0,0,0,0,0,0.0,26/12/2020
"Aké  Nathan Aké (Manchester City, Defender)",MCI,5.0,90,6,9,1,6,0,0,0,0,32,20,4.5,26/12/2020
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,90,6,2,1,4,0,2,3,3,34,22,4.1,26/12/2020
"De Bruyne  Kevin De Bruyne (Manchester City, Midfielder)",MCI,12.0,90,5,0,0,4,0,1,2,2,12,12,7.5,26/12/2020
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,1,1,0,0,0,0,0,0,0,2,2,0.5,26/12/2020
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,90,3,3,0,6,0,0,0,0,26,14,6.4,26/12/2020
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,89,5,2,0,4,0,0,2,1,35,14,6.4,26/12/2020
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,57,4,3,0,6,0,0,0,0,6,6,9.5,26/12/2020
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,33,2,1,0,6,0,0,0,1,10,10,3.3,26/12/2020
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,90,6,0,0,4,0,0,0,0,28,16,5.6,26/12/2020
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,90,5,2,2,4,0,2,2,3,29,20,4.5,26/12/2020
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,90,3,2,0,6,0,0,0,0,22,10,9.0,26/12/2020
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,77,1,0,0,0,0,1,1,1,25,7,11.0,26/12/2020
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,90,3,1,0,4,0,0,0,1,8,8,11.3,26/12/2020
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,82,5,3,0,0,2,0,2,1,12,12,6.8,26/12/2020
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,71,2,2,0,0,0,0,0,0,1,1,71.0,26/12/2020
"Carroll  Andy Carroll (Newcastle United, Forward)",NEW,5.1,19,0,0,0,0,0,0,0,0,2,2,9.5,26/12/2020
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,90,2,3,0,0,0,0,0,0,5,5,18.0,26/12/2020
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,90,6,1,0,0,0,0,0,0,17,17,5.3,26/12/2020
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,90,5,11,2,0,0,0,0,0,14,14,6.4,26/12/2020
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,8,0,0,0,0,0,0,0,0,2,2,4.0,26/12/2020
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,90,5,1,0,4,0,0,1,0,11,11,8.2,26/12/2020
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,24,1,0,0,0,0,0,0,1,4,4,6.0,26/12/2020
"Longstaff (Matthew)  Matthew Longstaff (Newcastle United, Midfielder)",NEW,4.5,90,2,2,0,0,1,0,1,1,9,9,10.0,26/12/2020
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,90,7,1,0,0,1,0,0,0,5,5,18.0,26/12/2020
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,66,2,4,0,0,0,0,0,0,2,2,33.0,26/12/2020
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,90,7,10,0,0,0,0,0,1,10,10,9.0,26/12/2020
"Yedlin  DeAndre Yedlin (Newcastle United, Defender)",NEW,4.3,90,4,3,0,0,0,0,1,0,6,6,15.0,26/12/2020
