Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Aguero  Sergio Aguero (Manchester City, Forward)",MCI,10.3,0,0.0,0.0,inf,0,0.58,-0.58,22.4,0.58,-0.58,22.4,26/12/2020
"Aké  Nathan Aké (Manchester City, Defender)",MCI,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,26/12/2020
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,0,1.21,-1.21,74.4,0,0.0,0.0,inf,1.21,-1.21,74.4,26/12/2020
"De Bruyne  Kevin De Bruyne (Manchester City, Midfielder)",MCI,12.0,0,0.31,-0.31,290.3,0,0.49,-0.49,183.7,0.8,-0.8,112.5,26/12/2020
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,26/12/2020
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,0,0.14,-0.14,635.7,1,0.51,0.49,174.5,0.65,0.35,136.9,26/12/2020
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,0,0.02,-0.02,2850.0,0,0.03,-0.03,1900.0,0.05,-0.05,1140.0,26/12/2020
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,0,0.02,-0.02,1650.0,0,0.0,0.0,inf,0.02,-0.02,1650.0,26/12/2020
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,1,1.4,-0.4,64.3,0,0.15,-0.15,600.0,1.55,-0.55,58.1,26/12/2020
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,0,0.02,-0.02,4500.0,0,0.14,-0.14,642.9,0.16,-0.16,562.5,26/12/2020
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,0,0.02,-0.02,3850.0,1,0.59,0.41,130.5,0.61,0.39,126.2,26/12/2020
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,0,0.06,-0.06,1500.0,0,0.51,-0.51,176.5,0.57,-0.57,157.9,26/12/2020
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,0.16,-0.16,512.5,0,0.0,0.0,inf,0.16,-0.16,512.5,26/12/2020
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,0,0.0,0.0,inf,0,0.06,-0.06,1183.3,0.06,-0.06,1183.3,26/12/2020
"Carroll  Andy Carroll (Newcastle United, Forward)",NEW,5.1,0,0.0,0.0,inf,0,0.04,-0.04,475.0,0.04,-0.04,475.0,26/12/2020
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,0,0.06,-0.06,1500.0,0,0.04,-0.04,2250.0,0.1,-0.1,900.0,26/12/2020
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/12/2020
"Longstaff (Matthew)  Matthew Longstaff (Newcastle United, Midfielder)",NEW,4.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,26/12/2020
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,0,0.07,-0.07,1285.7,0,0.12,-0.12,750.0,0.19,-0.19,473.7,26/12/2020
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,0,0.01,-0.01,6600.0,0,0.0,0.0,inf,0.01,-0.01,6600.0,26/12/2020
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,26/12/2020
"Yedlin  DeAndre Yedlin (Newcastle United, Defender)",NEW,4.3,0,0.01,-0.01,9000.0,0,0.01,-0.01,9000.0,0.02,-0.02,4500.0,26/12/2020
