Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,90,1,2,0,0,1,0,0,1,0,0,0.0,29/12/2020
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,90,2,4,0,4,0,0,1,0,25,13,6.9,29/12/2020
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,9,0,3,0,0,0,0,0,0,2,2,4.5,29/12/2020
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,90,7,2,0,4,0,0,0,0,11,11,8.2,29/12/2020
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,90,7,4,0,6,0,0,0,0,27,15,6.0,29/12/2020
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,24,0,0,0,0,0,0,0,0,30,3,8.0,29/12/2020
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,90,14,0,0,0,0,0,0,0,26,14,6.4,29/12/2020
"Maitland-Niles  Ainsley Maitland-Niles (Arsenal, Defender)",ARS,5.5,1,0,0,0,0,0,0,0,0,0,0,0.0,29/12/2020
"Gabriel Martinelli  Gabriel Teodoro Martinelli Silva (Arsenal, Midfielder)",ARS,5.5,66,4,1,0,0,0,0,0,0,5,5,13.2,29/12/2020
"Marí  Pablo Marí (Arsenal, Defender)",ARS,4.5,90,3,5,1,6,0,0,1,0,29,17,5.3,29/12/2020
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,81,5,0,2,2,1,1,3,2,28,19,4.3,29/12/2020
"Smith-Rowe  Emile Smith-Rowe (Arsenal, Midfielder)",ARS,5.5,89,5,1,0,4,0,0,2,2,13,13,6.8,29/12/2020
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,90,4,3,0,4,1,0,2,0,23,11,8.2,29/12/2020
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,90,9,5,0,6,0,0,0,0,16,16,5.6,29/12/2020
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,10,4,1,4,1,0,1,3,21,21,4.3,29/12/2020
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,90,8,1,0,4,0,0,0,0,8,8,11.3,29/12/2020
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,90,7,5,0,6,0,0,1,0,13,13,6.9,29/12/2020
"Bernardo  Bernardo Fernandes da Silva Junior (Brighton and Hove Albion, Defender)",BHA,4.0,90,4,0,1,4,1,0,2,0,10,10,9.0,29/12/2020
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,90,6,0,0,4,1,0,3,0,14,14,6.4,29/12/2020
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,75,3,0,0,0,0,0,0,3,3,3,25.0,29/12/2020
"Mac Allister  Alexis Mac Allister (Brighton and Hove Albion, Midfielder)",BHA,5.5,67,2,0,0,0,0,0,1,1,4,4,16.8,29/12/2020
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,22,1,0,2,0,0,0,0,3,8,8,2.8,29/12/2020
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,23,1,0,0,0,0,0,0,0,3,3,7.7,29/12/2020
"Pröpper  Davy Pröpper (Brighton and Hove Albion, Midfielder)",BHA,4.5,68,4,0,1,0,0,0,0,0,7,7,9.7,29/12/2020
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,10,0,0,0,0,0,0,0,13,13,6.9,29/12/2020
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,15,0,0,0,0,0,0,0,0,3,3,5.0,29/12/2020
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,90,4,4,0,4,3,0,2,0,18,18,5.0,29/12/2020
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,90,4,2,1,4,0,0,0,3,17,17,5.3,29/12/2020
