Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Aubameyang  Pierre-Emerick Aubameyang (Arsenal, Midfielder)",ARS,10.0,0,0.02,-0.02,4500.0,0,0.59,-0.59,152.5,0.61,-0.61,147.5,29/12/2020
"Bellerín  Héctor Bellerín (Arsenal, Defender)",ARS,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,29/12/2020
"Dani Ceballos  Daniel Ceballos Fernández (Arsenal, Midfielder)",ARS,4.7,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Elneny  Mohamed Elneny (Arsenal, Midfielder)",ARS,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,29/12/2020
"Holding  Rob Holding (Arsenal, Defender)",ARS,4.5,0,0.01,-0.01,9000.0,0,0.01,-0.01,9000.0,0.02,-0.02,4500.0,29/12/2020
"Lacazette  Alexandre Lacazette (Arsenal, Forward)",ARS,8.5,0,0.0,0.0,inf,1,0.07,0.93,342.9,0.07,0.93,342.9,29/12/2020
"Leno  Bernd Leno (Arsenal, Goalkeeper)",ARS,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Maitland-Niles  Ainsley Maitland-Niles (Arsenal, Defender)",ARS,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Gabriel Martinelli  Gabriel Teodoro Martinelli Silva (Arsenal, Midfielder)",ARS,5.5,0,0.0,0.0,inf,0,0.05,-0.05,1320.0,0.05,-0.05,1320.0,29/12/2020
"Marí  Pablo Marí (Arsenal, Defender)",ARS,4.5,0,0.0,0.0,inf,0,0.03,-0.03,3000.0,0.03,-0.03,3000.0,29/12/2020
"Saka  Bukayo Saka (Arsenal, Midfielder)",ARS,6.5,1,0.39,0.61,207.7,0,0.21,-0.21,385.7,0.6,0.4,135.0,29/12/2020
"Smith-Rowe  Emile Smith-Rowe (Arsenal, Midfielder)",ARS,5.5,0,0.03,-0.03,2966.7,0,0.0,0.0,inf,0.03,-0.03,2966.7,29/12/2020
"Tierney  Kieran Tierney (Arsenal, Defender)",ARS,5.0,0,0.13,-0.13,692.3,0,0.0,0.0,inf,0.13,-0.13,692.3,29/12/2020
"Xhaka  Granit Xhaka (Arsenal, Midfielder)",ARS,5.0,0,0.02,-0.02,4500.0,0,0.14,-0.14,642.9,0.16,-0.16,562.5,29/12/2020
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,0,0.24,-0.24,375.0,0,0.0,0.0,inf,0.24,-0.24,375.0,29/12/2020
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.01,-0.01,9000.0,0,0.09,-0.09,1000.0,0.1,-0.1,900.0,29/12/2020
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,0,0.58,-0.58,155.2,0,0.0,0.0,inf,0.58,-0.58,155.2,29/12/2020
"Bernardo  Bernardo Fernandes da Silva Junior (Brighton and Hove Albion, Defender)",BHA,4.0,0,0.09,-0.09,1000.0,0,0.4,-0.4,225.0,0.49,-0.49,183.7,29/12/2020
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,0,0.13,-0.13,692.3,0,0.03,-0.03,3000.0,0.16,-0.16,562.5,29/12/2020
"Jahanbakhsh  Alireza Jahanbakhsh (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,0.18,-0.18,416.7,0,0.14,-0.14,535.7,0.32,-0.32,234.4,29/12/2020
"Mac Allister  Alexis Mac Allister (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,0.01,-0.01,6700.0,0,0.06,-0.06,1116.7,0.07,-0.07,957.1,29/12/2020
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Pröpper  Davy Pröpper (Brighton and Hove Albion, Midfielder)",BHA,4.5,0,0.0,0.0,inf,0,0.16,-0.16,425.0,0.16,-0.16,425.0,29/12/2020
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,0,0.01,-0.01,1500.0,0,0.0,0.0,inf,0.01,-0.01,1500.0,29/12/2020
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.11,-0.11,818.2,0,0.0,0.0,inf,0.11,-0.11,818.2,29/12/2020
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,29/12/2020
