Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,1,0,1,0,1,0,0,0,CHE,16,28/12/2020,DEF,False
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,0,3,1,0,0,0,0,0,0,0,0,0,0,CHE,16,28/12/2020,FWD,False
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,1,81,0,1,1,0,0,0,0,1,0,1,0,CHE,16,28/12/2020,MID,False
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,16,28/12/2020,MID,False
"Hause  Kortney Hause (Aston Villa, Defender)",AVL,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,16,28/12/2020,DEF,False
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,16,28/12/2020,DEF,False
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,16,28/12/2020,GKP,False
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,16,28/12/2020,MID,False
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,0,9,1,0,0,0,0,0,0,0,0,0,0,CHE,16,28/12/2020,MID,False
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,16,28/12/2020,MID,False
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,16,28/12/2020,DEF,False
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,1,87,0,1,0,0,0,0,0,1,0,0,0,CHE,16,28/12/2020,MID,False
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,1,90,0,0,0,0,0,0,0,1,0,0,0,CHE,16,28/12/2020,FWD,False
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,0,0,0,0,1,0,1,0,AVL,16,28/12/2020,DEF,True
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,1,90,0,0,0,1,0,1,0,1,0,0,0,AVL,16,28/12/2020,DEF,True
"Christensen  Andreas Christensen (Chelsea, Defender)",CHE,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,16,28/12/2020,DEF,True
"Jorginho  Jorge Luiz Frello Filho (Chelsea, Midfielder)",CHE,6.0,1,72,0,1,0,0,0,0,0,1,0,0,0,AVL,16,28/12/2020,MID,True
"Giroud  Olivier Giroud (Chelsea, Forward)",CHE,6.5,1,72,0,1,1,0,0,0,0,1,0,1,0,AVL,16,28/12/2020,FWD,True
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,0,18,1,0,0,0,0,0,0,0,0,0,0,AVL,16,28/12/2020,MID,True
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,16,28/12/2020,MID,True
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,1,90,0,0,0,0,0,0,0,1,0,1,0,AVL,16,28/12/2020,MID,True
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,16,28/12/2020,GKP,True
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,16,28/12/2020,MID,True
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,16,28/12/2020,MID,True
"Rüdiger  Antonio Rüdiger (Chelsea, Defender)",CHE,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,AVL,16,28/12/2020,DEF,True
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,0,18,1,0,0,0,0,0,0,0,0,0,0,AVL,16,28/12/2020,FWD,True
