Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,17,2,3,0,0,0,0,0,0,4,4,4.3,30/12/2020
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,90,6,4,0,2,1,0,1,0,23,11,8.2,30/12/2020
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,90,2,1,0,2,0,1,1,2,9,9,10.0,30/12/2020
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,90,3,6,0,4,0,1,1,0,14,14,6.4,30/12/2020
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,68,6,1,0,6,0,0,0,1,9,9,7.6,30/12/2020
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,90,5,1,1,2,1,0,1,1,3,3,30.0,30/12/2020
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,73,9,2,2,4,0,0,0,0,14,14,5.2,30/12/2020
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,90,2,4,0,4,0,0,0,0,18,6,15.0,30/12/2020
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,90,7,1,0,0,0,0,0,0,25,13,6.9,30/12/2020
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,90,4,2,0,4,3,1,2,2,33,21,4.3,30/12/2020
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,89,1,1,0,0,0,0,0,1,-5,-5,0.0,30/12/2020
"Shaqiri  Xherdan Shaqiri (Liverpool, Midfielder)",LIV,6.0,1,0,0,0,0,0,0,0,0,3,3,0.3,30/12/2020
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,90,5,8,1,6,0,0,0,0,15,15,6.0,30/12/2020
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,22,3,0,0,0,0,0,1,0,3,3,7.3,30/12/2020
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,23,4,3,1,0,0,0,0,0,5,5,4.6,30/12/2020
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,90,3,1,1,0,0,0,1,2,10,10,9.0,30/12/2020
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,90,3,9,1,0,0,0,0,0,17,5,18.0,30/12/2020
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,90,4,1,0,0,0,0,0,0,28,16,5.6,30/12/2020
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,90,9,8,5,0,0,0,0,0,33,21,4.3,30/12/2020
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,90,1,5,0,0,0,0,0,0,1,1,90.0,30/12/2020
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,4,0,0,0,0,0,0,0,0,3,3,1.3,30/12/2020
"Longstaff (Matthew)  Matthew Longstaff (Newcastle United, Midfielder)",NEW,4.5,90,12,2,1,2,0,0,1,0,16,16,5.6,30/12/2020
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,67,1,3,0,0,0,0,1,0,6,6,11.2,30/12/2020
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,86,4,9,0,0,0,1,2,0,17,17,5.1,30/12/2020
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,90,5,17,1,0,0,0,0,0,26,14,6.4,30/12/2020
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,90,2,1,0,0,0,0,1,1,2,2,45.0,30/12/2020
"Yedlin  DeAndre Yedlin (Newcastle United, Defender)",NEW,4.3,90,0,8,0,0,0,0,1,1,23,11,8.2,30/12/2020
