Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Thiago Alcántara  Thiago Alcántara do Nascimento (Liverpool, Midfielder)",LIV,5.5,0,0.02,-0.02,850.0,0,0.03,-0.03,566.7,0.05,-0.05,340.0,30/12/2020
"Alexander-Arnold  Trent Alexander-Arnold (Liverpool, Defender)",LIV,7.5,0,0.15,-0.15,600.0,0,0.02,-0.02,4500.0,0.17,-0.17,529.4,30/12/2020
"Firmino  Roberto Firmino Barbosa de Oliveira (Liverpool, Forward)",LIV,9.0,0,0.41,-0.41,219.5,0,0.29,-0.29,310.3,0.7,-0.7,128.6,30/12/2020
"Henderson (Jordan)  Jordan Henderson (Liverpool, Midfielder)",LIV,5.0,0,0.26,-0.26,346.2,0,0.02,-0.02,4500.0,0.28,-0.28,321.4,30/12/2020
"Jones (Curtis)  Curtis Jones (Liverpool, Midfielder)",LIV,5.0,0,0.02,-0.02,3400.0,0,0.0,0.0,inf,0.02,-0.02,3400.0,30/12/2020
"Mane  Sadio Mane (Liverpool, Midfielder)",LIV,12.0,0,0.13,-0.13,692.3,0,0.09,-0.09,1000.0,0.22,-0.22,409.1,30/12/2020
"Milner  James Milner (Liverpool, Midfielder)",LIV,5.0,0,0.05,-0.05,1460.0,0,0.04,-0.04,1825.0,0.09,-0.09,811.1,30/12/2020
"Phillips (Nathaniel)  Nathaniel Phillips (Liverpool, Defender)",LIV,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,30/12/2020
"Alisson  Alisson Ramses Becker (Liverpool, Goalkeeper)",LIV,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/12/2020
"Robertson  Andrew Robertson (Liverpool, Defender)",LIV,7.0,0,0.39,-0.39,230.8,0,0.0,0.0,inf,0.39,-0.39,230.8,30/12/2020
"Salah  Mohamed Salah (Liverpool, Midfielder)",LIV,12.5,0,0.03,-0.03,2966.7,0,0.91,-0.91,97.8,0.94,-0.94,94.7,30/12/2020
"Shaqiri  Xherdan Shaqiri (Liverpool, Midfielder)",LIV,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/12/2020
"Fabinho  Fabio Henrique Tavares (Liverpool, Midfielder)",LIV,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,30/12/2020
"Wijnaldum  Georginio Wijnaldum (Liverpool, Midfielder)",LIV,5.3,0,0.02,-0.02,1100.0,0,0.0,0.0,inf,0.02,-0.02,1100.0,30/12/2020
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,0.06,-0.06,383.3,0,0.0,0.0,inf,0.06,-0.06,383.3,30/12/2020
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,0,0.02,-0.02,4500.0,0,0.09,-0.09,1000.0,0.11,-0.11,818.2,30/12/2020
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,0,0.06,-0.06,1500.0,0,0.08,-0.08,1125.0,0.14,-0.14,642.9,30/12/2020
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/12/2020
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/12/2020
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,0,0.0,0.0,inf,0,0.02,-0.02,4500.0,0.02,-0.02,4500.0,30/12/2020
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/12/2020
"Longstaff (Matthew)  Matthew Longstaff (Newcastle United, Midfielder)",NEW,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,30/12/2020
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,0,0.06,-0.06,1116.7,0,0.04,-0.04,1675.0,0.1,-0.1,670.0,30/12/2020
"Ritchie  Matt Ritchie (Newcastle United, Midfielder)",NEW,5.0,0,0.17,-0.17,505.9,0,0.0,0.0,inf,0.17,-0.17,505.9,30/12/2020
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/12/2020
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,0,0.04,-0.04,2250.0,0,0.19,-0.19,473.7,0.23,-0.23,391.3,30/12/2020
"Yedlin  DeAndre Yedlin (Newcastle United, Defender)",NEW,4.3,0,0.01,-0.01,9000.0,0,0.06,-0.06,1500.0,0.07,-0.07,1285.7,30/12/2020
