Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,0,0.0,0.0,inf,0,0.3,-0.3,193.3,0.3,-0.3,193.3,29/12/2020
"Armstrong  Stuart Armstrong (Southampton, Midfielder)",SOU,6.0,0,0.02,-0.02,600.0,0,0.0,0.0,inf,0.02,-0.02,600.0,29/12/2020
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,29/12/2020
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,0,0.01,-0.01,9000.0,0,0.02,-0.02,4500.0,0.03,-0.03,3000.0,29/12/2020
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,0,0.03,-0.03,2600.0,0,0.0,0.0,inf,0.03,-0.03,2600.0,29/12/2020
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,0,0.02,-0.02,4500.0,0,0.17,-0.17,529.4,0.19,-0.19,473.7,29/12/2020
"Long (Shane)  Shane Long (Southampton, Forward)",SOU,5.1,0,0.01,-0.01,3200.0,0,0.0,0.0,inf,0.01,-0.01,3200.0,29/12/2020
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,0,0.05,-0.05,1800.0,0,0.06,-0.06,1500.0,0.11,-0.11,818.2,29/12/2020
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,29/12/2020
"Walcott  Theo Walcott (Southampton, Midfielder)",SOU,6.0,0,0.14,-0.14,642.9,0,0.05,-0.05,1800.0,0.19,-0.19,473.7,29/12/2020
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,0,0.04,-0.04,2250.0,0,0.05,-0.05,1800.0,0.09,-0.09,1000.0,29/12/2020
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,0,0.05,-0.05,1800.0,0,0.13,-0.13,692.3,0.18,-0.18,500.0,29/12/2020
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,0,0.01,-0.01,1300.0,0,0.0,0.0,inf,0.01,-0.01,1300.0,29/12/2020
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,0,0.01,-0.01,3000.0,0,0.74,-0.74,40.5,0.75,-0.75,40.0,29/12/2020
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,0,0.16,-0.16,562.5,0,0.0,0.0,inf,0.16,-0.16,562.5,29/12/2020
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,0,0.18,-0.18,500.0,0,0.03,-0.03,3000.0,0.21,-0.21,428.6,29/12/2020
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,0,0.04,-0.04,2250.0,0,0.14,-0.14,642.9,0.18,-0.18,500.0,29/12/2020
"Haller  Sébastien Haller (West Ham United, Forward)",WHU,6.1,0,0.02,-0.02,3850.0,0,0.11,-0.11,700.0,0.13,-0.13,592.3,29/12/2020
"Lanzini  Manuel Lanzini (West Ham United, Midfielder)",WHU,6.0,0,0.02,-0.02,3000.0,0,0.07,-0.07,857.1,0.09,-0.09,666.7,29/12/2020
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,29/12/2020
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,0,0.08,-0.08,1125.0,0,0.09,-0.09,1000.0,0.17,-0.17,529.4,29/12/2020
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,0,0.06,-0.06,1500.0,0,0.07,-0.07,1285.7,0.13,-0.13,692.3,29/12/2020
"Yarmolenko  Andriy Yarmolenko (West Ham United, Midfielder)",WHU,5.5,0,0.03,-0.03,2400.0,0,0.0,0.0,inf,0.03,-0.03,2400.0,29/12/2020
