Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,90,4,1,0,4,0,0,0,2,32,8,11.3,29/12/2020
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,8,3,0,4,0,0,0,4,28,16,5.6,29/12/2020
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,90,3,2,1,0,0,1,1,0,28,10,9.0,29/12/2020
"Hélder Costa  Helder Costa (Leeds United, Midfielder)",LEE,5.5,9,0,0,0,0,0,0,0,0,1,1,9.0,29/12/2020
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,7,2,1,6,1,0,2,1,39,18,5.0,29/12/2020
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,81,1,0,0,4,0,0,0,0,25,7,11.6,29/12/2020
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,90,2,3,0,4,1,1,2,1,31,13,6.9,29/12/2020
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,20,0,0,0,0,0,0,0,2,4,4,5.0,29/12/2020
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,58,7,0,0,4,1,0,3,1,21,12,4.8,29/12/2020
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,13,1,0,0,0,0,0,0,25,13,6.9,29/12/2020
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,70,2,0,0,4,1,0,2,1,37,13,5.4,29/12/2020
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,90,7,6,0,6,0,0,2,2,20,20,4.5,29/12/2020
"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",LEE,4.5,32,2,1,2,0,0,0,0,0,6,6,5.3,29/12/2020
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,90,5,5,0,6,0,0,0,0,25,13,6.9,29/12/2020
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,90,6,5,0,0,0,0,0,0,8,8,11.3,29/12/2020
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,29,1,0,0,0,0,0,0,0,1,1,29.0,29/12/2020
"Diangana  Grady Diangana (West Bromwich Albion, Midfielder)",WBA,5.0,72,5,2,1,0,0,0,0,1,4,4,18.0,29/12/2020
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,90,2,9,0,0,0,0,0,0,7,7,12.9,29/12/2020
"Gallagher  Conor Gallagher (West Bromwich Albion, Midfielder)",WBA,5.5,90,8,1,1,0,0,0,0,0,8,8,11.3,29/12/2020
"Grant (Karlan)  Karlan Grant (West Bromwich Albion, Forward)",WBA,5.6,61,2,1,0,0,0,0,0,0,5,5,12.2,29/12/2020
"Ivanovic  Branislav Ivanovic (West Bromwich Albion, Defender)",WBA,4.4,45,2,4,0,0,0,0,0,0,4,4,11.3,29/12/2020
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,90,9,0,0,0,0,0,0,0,13,13,6.9,29/12/2020
"Krovinovic  Filip Krovinovic (West Bromwich Albion, Midfielder)",WBA,4.9,18,1,0,0,0,0,0,0,0,2,2,9.0,29/12/2020
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,90,3,9,0,0,0,0,0,0,11,11,8.2,29/12/2020
"Peltier  Lee Peltier (West Bromwich Albion, Defender)",WBA,3.9,90,6,5,1,0,0,0,1,0,13,13,6.9,29/12/2020
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,45,0,1,0,0,0,0,0,0,1,1,45.0,29/12/2020
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,90,4,1,0,0,0,0,0,2,6,6,15.0,29/12/2020
"Sawyers  Romaine Sawyers (West Bromwich Albion, Midfielder)",WBA,4.6,90,11,2,1,0,0,0,0,0,1,1,90.0,29/12/2020
