Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,45,2,2,1,0,0,0,0,1,1,1,45.0,02/01/2021
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,69,4,4,0,2,0,0,0,0,-3,-3,0.0,02/01/2021
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,45,0,1,0,0,0,0,0,0,27,3,15.0,02/01/2021
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,90,8,5,1,6,0,0,0,0,29,17,5.3,02/01/2021
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,21,3,2,0,0,0,0,0,1,5,5,4.2,02/01/2021
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,90,5,1,0,2,1,0,3,0,7,7,12.9,02/01/2021
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,90,1,0,0,0,0,0,0,1,30,6,15.0,02/01/2021
"Pröpper  Davy Pröpper (Brighton and Hove Albion, Midfielder)",BHA,4.5,45,4,0,0,6,0,0,0,0,7,7,6.4,02/01/2021
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,8,0,0,6,0,0,0,0,18,18,5.0,02/01/2021
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,90,4,2,0,2,2,1,3,0,32,14,6.4,02/01/2021
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,90,6,0,0,2,2,0,2,0,13,13,6.9,02/01/2021
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,90,5,8,1,4,0,0,1,4,19,19,4.7,02/01/2021
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,6,4,0,4,0,0,1,0,12,12,7.5,02/01/2021
"Zeqiri  Andi Zeqiri (Brighton and Hove Albion, Forward)",BHA,5.0,45,2,0,1,0,0,0,0,0,0,0,0.0,02/01/2021
"Ait Nouri  Rayan Ait Nouri (Wolverhampton Wanderers, Defender)",WOL,4.5,90,5,1,1,4,0,0,0,0,3,3,30.0,02/01/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,1,10,0,4,0,0,0,0,15,15,6.0,02/01/2021
"Kilman  Max Kilman (Wolverhampton Wanderers, Defender)",WOL,4.5,26,2,0,1,0,0,0,0,1,6,6,4.3,02/01/2021
"Vitor Ferreira  Vitor Machado Ferreira (Wolverhampton Wanderers, Midfielder)",WOL,4.7,64,4,0,0,6,0,0,1,0,13,13,4.9,02/01/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,5,5,0,4,0,0,2,0,11,11,8.2,02/01/2021
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,90,4,4,0,4,0,0,0,3,20,11,8.2,02/01/2021
"Otasowie  Owen Otasowie (Wolverhampton Wanderers, Midfielder)",WOL,4.5,3,1,0,1,0,0,0,0,0,0,0,0.0,02/01/2021
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,90,7,7,0,2,0,0,0,1,26,14,6.4,02/01/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,90,6,4,0,4,0,0,1,2,21,12,7.5,02/01/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,87,3,1,0,0,0,0,1,0,7,7,12.4,02/01/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,90,3,2,2,0,2,1,2,9,28,19,4.7,02/01/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,90,6,3,1,4,0,0,1,0,32,14,6.4,02/01/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,5,0,0,0,0,0,0,0,9,9,10.0,02/01/2021
