Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,90,1,4,1,6,0,0,1,0,16,16,5.6,03/01/2021
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,90,4,4,0,6,0,0,0,1,14,14,6.4,03/01/2021
"Gilmour  Billy Gilmour (Chelsea, Midfielder)",CHE,4.5,26,1,1,1,0,0,0,0,0,5,5,5.2,03/01/2021
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,13,2,0,0,0,0,1,1,0,15,6,2.2,03/01/2021
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,26,2,0,1,0,1,0,2,1,26,8,3.3,03/01/2021
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,64,3,2,0,4,0,0,0,1,8,8,8.0,03/01/2021
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,77,1,1,0,6,0,0,0,1,6,6,12.8,03/01/2021
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,90,6,0,0,6,0,0,0,0,20,20,4.5,03/01/2021
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,90,4,1,0,4,0,0,3,2,11,11,8.2,03/01/2021
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,90,3,2,1,4,0,0,1,9,14,14,6.4,03/01/2021
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,90,2,0,0,4,0,0,0,1,6,6,15.0,03/01/2021
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,64,2,1,0,0,0,0,1,0,5,5,12.8,03/01/2021
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,90,5,8,0,6,0,0,0,0,16,16,5.6,03/01/2021
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,90,9,3,0,6,0,0,0,0,15,15,6.0,03/01/2021
"Aguero  Sergio Aguero (Manchester City, Forward)",MCI,10.3,4,0,0,0,0,0,0,0,0,3,3,1.3,03/01/2021
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,90,3,5,3,4,0,1,2,0,19,19,4.7,03/01/2021
"De Bruyne  Kevin De Bruyne (Manchester City, Midfielder)",MCI,12.0,86,2,1,0,2,0,2,3,1,35,8,10.8,03/01/2021
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,86,3,0,0,0,0,1,4,0,39,9,9.6,03/01/2021
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,90,5,13,0,6,0,0,0,0,18,18,5.0,03/01/2021
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,75,2,2,0,4,0,0,1,3,27,9,8.3,03/01/2021
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,90,11,5,1,4,0,0,0,2,14,14,6.4,03/01/2021
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,15,0,1,0,0,0,0,0,0,3,3,5.0,03/01/2021
"Mahrez  Riyad Mahrez (Manchester City, Midfielder)",MCI,9.0,4,0,0,0,0,0,0,0,0,3,3,1.3,03/01/2021
"Steffen  Zackary Steffen (Manchester City, Goalkeeper)",MCI,4.5,90,5,0,0,0,0,0,0,0,8,8,11.3,03/01/2021
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,90,2,2,0,4,0,0,2,3,22,13,6.9,03/01/2021
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,90,3,3,0,4,0,0,0,0,12,12,7.5,03/01/2021
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,90,8,1,2,6,0,1,2,0,17,17,5.3,03/01/2021
"Zinchenko  Oleksandr Zinchenko (Manchester City, Defender)",MCI,5.5,90,3,4,0,4,0,0,0,0,12,12,7.5,03/01/2021
