Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Azpilicueta  César Azpilicueta (Chelsea, Defender)",CHE,6.0,0,0.17,-0.17,529.4,0,0.16,-0.16,562.5,0.33,-0.33,272.7,03/01/2021
"Chilwell  Benjamin Chilwell (Chelsea, Defender)",CHE,6.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,03/01/2021
"Gilmour  Billy Gilmour (Chelsea, Midfielder)",CHE,4.5,0,0.01,-0.01,2600.0,0,0.0,0.0,inf,0.01,-0.01,2600.0,03/01/2021
"Havertz  Kai Havertz (Chelsea, Midfielder)",CHE,8.5,1,0.14,0.86,92.9,0,0.04,-0.04,325.0,0.18,0.82,72.2,03/01/2021
"Hudson-Odoi  Callum Hudson-Odoi (Chelsea, Midfielder)",CHE,5.5,0,0.09,-0.09,288.9,1,0.32,0.68,81.3,0.41,0.59,63.4,03/01/2021
"Kanté  N&#039;Golo Kanté (Chelsea, Midfielder)",CHE,5.0,0,0.01,-0.01,6400.0,0,0.0,0.0,inf,0.01,-0.01,6400.0,03/01/2021
"Kovacic  Mateo Kovacic (Chelsea, Midfielder)",CHE,5.0,0,0.02,-0.02,3850.0,0,0.09,-0.09,855.6,0.11,-0.11,700.0,03/01/2021
"Mendy (Edouard)  Edouard Mendy (Chelsea, Goalkeeper)",CHE,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/01/2021
"Mount  Mason Mount (Chelsea, Midfielder)",CHE,7.5,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,03/01/2021
"Pulisic  Christian Pulisic (Chelsea, Midfielder)",CHE,8.0,0,0.3,-0.3,300.0,0,0.04,-0.04,2250.0,0.34,-0.34,264.7,03/01/2021
"Werner  Timo Werner (Chelsea, Forward)",CHE,9.0,0,0.04,-0.04,2250.0,0,0.02,-0.02,4500.0,0.06,-0.06,1500.0,03/01/2021
"Ziyech  Hakim Ziyech (Chelsea, Midfielder)",CHE,7.5,0,0.05,-0.05,1280.0,0,0.17,-0.17,376.5,0.22,-0.22,290.9,03/01/2021
"Zouma  Kurt Zouma (Chelsea, Defender)",CHE,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,03/01/2021
"Thiago Silva  Thiago Emiliano da Silva (Chelsea, Defender)",CHE,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,03/01/2021
"Aguero  Sergio Aguero (Manchester City, Forward)",MCI,10.3,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/01/2021
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,0,0.21,-0.21,428.6,0,0.06,-0.06,1500.0,0.27,-0.27,333.3,03/01/2021
"De Bruyne  Kevin De Bruyne (Manchester City, Midfielder)",MCI,12.0,1,0.22,0.78,390.9,1,1.11,-0.11,77.5,1.33,0.67,64.7,03/01/2021
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,1,0.39,0.61,220.5,1,0.62,0.38,138.7,1.01,0.99,85.1,03/01/2021
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/01/2021
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,0,0.04,-0.04,1875.0,1,0.51,0.49,147.1,0.55,0.45,136.4,03/01/2021
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,0,0.02,-0.02,4500.0,0,0.1,-0.1,900.0,0.12,-0.12,750.0,03/01/2021
"Fernandinho  Fernando Luiz Rosa (Manchester City, Defender)",MCI,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/01/2021
"Mahrez  Riyad Mahrez (Manchester City, Midfielder)",MCI,9.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/01/2021
"Steffen  Zackary Steffen (Manchester City, Goalkeeper)",MCI,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/01/2021
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,0,0.05,-0.05,1800.0,0,0.11,-0.11,818.2,0.16,-0.16,562.5,03/01/2021
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,03/01/2021
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,0,0.15,-0.15,600.0,0,0.16,-0.16,562.5,0.31,-0.31,290.3,03/01/2021
"Zinchenko  Oleksandr Zinchenko (Manchester City, Defender)",MCI,5.5,0,0.02,-0.02,4500.0,0,0.06,-0.06,1500.0,0.08,-0.08,1125.0,03/01/2021
