Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Bernard  Bernard Anício Caldeira Duarte (Everton, Midfielder)",EVE,5.5,64,4,1,0,0,0,0,1,0,2,2,32.0,01/01/2021
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,79,1,1,0,0,0,0,0,1,4,4,19.8,01/01/2021
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,90,6,3,1,4,1,0,1,0,14,14,6.4,01/01/2021
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,90,8,3,0,4,0,0,0,3,9,9,10.0,01/01/2021
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,90,14,3,1,4,1,0,0,0,15,15,6.0,01/01/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,90,6,0,3,0,1,0,0,0,10,10,9.0,01/01/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,90,8,8,1,4,0,0,2,0,18,18,5.0,01/01/2021
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,90,4,5,0,6,0,0,1,0,15,15,6.0,01/01/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,90,8,0,0,2,0,0,0,0,18,18,5.0,01/01/2021
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,26,0,0,0,0,0,0,0,1,2,2,13.0,01/01/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,65,5,2,0,4,0,0,1,0,13,13,5.0,01/01/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,25,3,0,0,0,0,0,0,1,4,4,6.3,01/01/2021
"Tosun  Cenk Tosun (Everton, Forward)",EVE,6.0,11,0,0,0,0,0,0,0,0,3,3,3.7,01/01/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,90,1,2,1,2,1,0,1,1,8,8,11.3,01/01/2021
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,31,2,0,0,0,0,0,1,0,2,2,15.5,01/01/2021
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,90,6,2,2,2,0,0,1,1,10,10,9.0,01/01/2021
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,73,7,3,1,0,1,1,1,2,14,14,5.2,01/01/2021
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,90,3,6,0,4,0,0,0,0,24,12,7.5,01/01/2021
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,90,10,4,0,2,0,0,0,0,32,11,8.2,01/01/2021
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,90,0,6,0,2,0,0,0,0,23,11,8.2,01/01/2021
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,73,5,2,1,4,0,0,1,0,9,9,8.1,01/01/2021
"Haller  Sébastien Haller (West Ham United, Forward)",WHU,6.1,59,4,2,0,0,0,0,0,0,-3,-3,0.0,01/01/2021
"Lanzini  Manuel Lanzini (West Ham United, Midfielder)",WHU,6.0,17,3,1,0,0,0,0,0,0,3,3,5.7,01/01/2021
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,90,3,9,1,2,0,0,0,0,27,15,6.0,01/01/2021
"Randolph  Darren Randolph (West Ham United, Goalkeeper)",WHU,4.5,90,5,0,0,0,0,0,0,0,23,11,8.2,01/01/2021
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,90,5,4,3,4,1,1,1,1,25,25,3.6,01/01/2021
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,90,15,4,0,2,0,0,0,0,35,14,6.4,01/01/2021
"Yarmolenko  Andriy Yarmolenko (West Ham United, Midfielder)",WHU,5.5,17,2,0,0,0,0,0,1,0,4,4,4.3,01/01/2021
