Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,3,3,1,2,2,0,3,1,17,17,5.3,01/01/2021
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,6,0,0,0,0,0,0,0,1,3,3,2.0,01/01/2021
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,84,3,1,3,0,0,0,0,1,11,11,7.6,01/01/2021
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,7,1,1,6,2,2,4,1,32,23,3.9,01/01/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,4,5,0,4,0,0,0,0,11,11,8.2,01/01/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,13,2,1,0,0,0,0,0,27,27,3.3,01/01/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,4,0,2,4,1,0,0,1,15,15,6.0,01/01/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,6,9,0,2,0,0,0,0,12,12,7.5,01/01/2021
"Jacob Ramsey  Jacob Ramsey (Aston Villa, Midfielder)",AVL,4.5,11,3,0,0,0,0,0,0,0,4,4,2.8,01/01/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,90,12,6,0,4,0,0,0,2,14,14,6.4,01/01/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,6,6,1,2,0,0,0,0,15,15,6.0,01/01/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,79,3,1,0,0,0,0,2,1,25,7,11.3,01/01/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,0,0,0,0,1,0,2,2,3,3,30.0,01/01/2021
"Bailly  Eric Bailly (Manchester United, Defender)",MUN,5.0,90,7,8,0,4,0,0,0,0,13,13,6.9,01/01/2021
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,87,8,2,0,2,0,0,5,0,31,10,8.7,01/01/2021
"De Gea  David De Gea (Manchester United, Goalkeeper)",MUN,5.0,90,2,0,0,0,0,0,0,0,14,14,6.4,01/01/2021
"James (Daniel)  Daniel James (Manchester United, Midfielder)",MUN,6.0,3,1,1,0,0,0,0,0,0,3,3,1.0,01/01/2021
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,90,6,5,1,6,0,0,0,0,14,14,6.4,01/01/2021
"Martial  Anthony Martial (Manchester United, Forward)",MUN,8.0,90,2,2,0,0,0,0,1,1,29,5,18.0,01/01/2021
"Matic  Nemanja Matic (Manchester United, Midfielder)",MUN,4.5,25,2,1,0,0,0,0,1,0,-3,-3,0.0,01/01/2021
"McTominay  Scott McTominay (Manchester United, Midfielder)",MUN,5.5,65,2,6,0,0,0,0,0,0,1,1,65.0,01/01/2021
"Pogba  Paul Pogba (Manchester United, Midfielder)",MUN,7.5,90,6,3,2,2,0,0,2,1,17,8,11.3,01/01/2021
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,90,4,1,0,0,0,0,0,4,4,4,22.5,01/01/2021
"Fred  Frederico Rodrigues de Paula Santos (Manchester United, Midfielder)",MUN,5.0,89,10,5,0,4,0,0,0,0,11,11,8.1,01/01/2021
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,90,3,4,0,4,0,1,4,0,13,13,6.9,01/01/2021
"Tuanzebe  Axel Tuanzebe (Manchester United, Defender)",MUN,4.5,1,1,0,0,0,0,0,0,0,3,3,0.3,01/01/2021
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,90,8,5,0,4,1,1,2,3,31,22,4.1,01/01/2021
