Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,64,3,2,0,4,1,0,1,1,7,7,9.1,02/01/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,17,4,0,4,0,0,0,2,17,17,5.3,02/01/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,90,3,3,0,0,0,0,0,0,-3,-3,0.0,02/01/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,9,4,0,4,0,0,0,1,11,11,8.2,02/01/2021
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,90,7,3,0,4,3,1,3,2,16,16,5.6,02/01/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,61,3,0,1,0,0,0,1,1,6,6,10.2,02/01/2021
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,25,0,0,1,2,0,0,2,2,11,11,2.3,02/01/2021
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,90,6,1,0,4,0,0,4,0,11,11,8.2,02/01/2021
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,5,0,0,6,0,0,0,0,21,21,4.3,02/01/2021
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,65,2,0,0,4,0,0,2,1,11,11,5.9,02/01/2021
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,90,10,5,2,6,0,0,0,1,15,15,6.0,02/01/2021
"Poveda-Ocampo  Ian Carlo Poveda-Ocampo (Leeds United, Midfielder)",LEE,4.5,29,3,0,0,0,0,0,0,1,2,2,14.5,02/01/2021
"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",LEE,4.5,26,2,0,1,0,0,0,0,0,5,5,5.2,02/01/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,90,12,4,1,4,0,0,0,0,17,17,5.3,02/01/2021
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,90,1,4,0,0,0,0,0,0,31,7,12.9,02/01/2021
"Carlos Vinicius  Carlos Vinicius Alves Morais (Tottenham Hotspur, Forward)",TOT,6.9,3,2,0,1,0,0,0,0,2,5,5,0.6,02/01/2021
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,90,7,1,0,2,0,0,3,1,10,1,90.0,02/01/2021
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,90,5,4,0,4,0,1,2,0,28,16,5.6,02/01/2021
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,90,3,9,1,0,0,0,0,2,27,15,6.0,02/01/2021
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,89,8,3,1,2,0,0,1,1,5,-7,0.0,02/01/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,13,5,3,2,0,0,1,3,17,17,5.3,02/01/2021
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,87,3,2,0,0,1,1,1,6,47,11,7.9,02/01/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,8,1,0,0,0,0,0,0,30,18,5.0,02/01/2021
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,78,3,1,0,0,0,0,0,3,7,7,11.1,02/01/2021
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,12,3,0,0,0,0,0,0,0,3,3,4.0,02/01/2021
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,14,1,0,0,0,0,0,0,0,2,2,7.0,02/01/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,90,7,1,1,0,0,1,4,1,41,14,6.4,02/01/2021
"Winks  Harry Winks (Tottenham Hotspur, Midfielder)",TOT,4.5,76,6,7,2,0,0,0,1,0,10,10,7.6,02/01/2021
