Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,1,64,0,1,0,0,0,0,0,3,0,0,0,TOT,17,02/01/2021,DEF,False
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,TOT,17,02/01/2021,DEF,False
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,1,90,0,0,0,0,0,0,0,3,0,0,0,TOT,17,02/01/2021,FWD,False
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,1,90,0,0,0,0,0,0,0,3,0,0,0,TOT,17,02/01/2021,DEF,False
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,1,90,0,0,0,0,0,0,0,3,0,0,0,TOT,17,02/01/2021,MID,False
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,1,61,0,1,0,0,0,0,0,3,0,0,0,TOT,17,02/01/2021,MID,False
"Hernández  Pablo Hernández (Leeds United, Midfielder)",LEE,5.5,0,25,1,0,0,0,0,0,0,0,0,0,0,TOT,17,02/01/2021,MID,False
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,1,90,0,0,0,0,0,0,0,3,0,0,0,TOT,17,02/01/2021,MID,False
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,1,90,0,0,0,0,0,0,0,3,0,0,0,TOT,17,02/01/2021,GKP,False
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,1,65,0,1,0,0,0,0,0,3,0,0,0,TOT,17,02/01/2021,FWD,False
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,1,90,0,0,0,0,0,0,0,3,0,1,0,TOT,17,02/01/2021,MID,False
"Poveda-Ocampo  Ian Carlo Poveda-Ocampo (Leeds United, Midfielder)",LEE,4.5,0,29,1,0,0,0,0,0,0,0,0,0,0,TOT,17,02/01/2021,MID,False
"Shackleton  Jamie Shackleton (Leeds United, Midfielder)",LEE,4.5,0,26,1,0,0,0,0,0,0,0,0,0,0,TOT,17,02/01/2021,MID,False
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,1,90,0,0,0,0,0,0,0,3,0,0,0,TOT,17,02/01/2021,DEF,False
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,1,0,0,0,1,0,0,0,0,LEE,17,02/01/2021,DEF,True
"Carlos Vinicius  Carlos Vinicius Alves Morais (Tottenham Hotspur, Forward)",TOT,6.9,0,3,1,0,0,0,0,0,0,0,0,0,0,LEE,17,02/01/2021,FWD,True
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,1,90,0,0,0,0,1,1,1,0,0,0,0,LEE,17,02/01/2021,MID,True
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,17,02/01/2021,DEF,True
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,17,02/01/2021,DEF,True
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,1,89,0,0,0,0,0,0,1,0,0,0,1,LEE,17,02/01/2021,DEF,True
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,1,90,0,0,0,0,0,0,1,0,0,1,0,LEE,17,02/01/2021,MID,True
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,1,87,0,1,1,1,0,1,1,0,0,0,0,LEE,17,02/01/2021,FWD,True
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,LEE,17,02/01/2021,GKP,True
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,1,78,0,1,0,0,0,0,1,0,0,0,0,LEE,17,02/01/2021,MID,True
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,0,12,1,0,0,0,0,0,0,0,0,0,0,LEE,17,02/01/2021,MID,True
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,0,14,1,0,0,0,0,0,0,0,0,0,0,LEE,17,02/01/2021,MID,True
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,90,0,0,1,1,0,1,1,0,0,0,0,LEE,17,02/01/2021,MID,True
"Winks  Harry Winks (Tottenham Hotspur, Midfielder)",TOT,4.5,1,76,0,1,0,0,0,0,1,0,0,1,0,LEE,17,02/01/2021,MID,True
