Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Tosin  Oluwatosin Adarabioyo (Fulham, Defender)",FUL,4.5,90,10,10,1,4,0,0,0,0,16,16,5.6,13/01/2021
"Aina  Ola Aina (Fulham, Defender)",FUL,4.3,90,6,3,0,4,0,0,0,2,15,15,6.0,13/01/2021
"Andersen  Joachim Andersen (Fulham, Defender)",FUL,4.5,90,6,4,0,2,0,0,0,0,8,8,11.3,13/01/2021
"Areola  Alphonse Areola (Fulham, Goalkeeper)",FUL,5.0,90,9,0,0,0,0,0,0,0,19,19,4.7,13/01/2021
"Cavaleiro  Ivan Cavaleiro (Fulham, Midfielder)",FUL,5.3,86,2,2,0,2,0,0,1,1,26,8,10.8,13/01/2021
"DeCordova-Reid  Bobby DeCordova-Reid (Fulham, Forward)",FUL,5.3,90,6,2,1,6,0,0,1,3,19,19,4.7,13/01/2021
"Kamara  Aboubakar Kamara (Fulham, Midfielder)",FUL,4.8,4,0,0,0,0,0,0,1,1,3,3,1.3,13/01/2021
"Loftus-Cheek  Ruben Loftus-Cheek (Fulham, Midfielder)",FUL,5.5,89,2,0,0,2,0,0,0,1,0,0,0.0,13/01/2021
"Lookman  Ademola Lookman (Fulham, Midfielder)",FUL,4.7,23,3,0,0,0,1,1,3,1,17,8,2.9,13/01/2021
"Onomah  Josh Onomah (Fulham, Midfielder)",FUL,4.6,1,0,0,0,0,0,0,0,0,3,3,0.3,13/01/2021
"Reed  Harrison Reed (Fulham, Midfielder)",FUL,4.4,90,9,5,0,6,0,0,1,0,12,12,7.5,13/01/2021
"Robinson (Antonee)  Antonee Robinson (Fulham, Defender)",FUL,4.4,90,7,3,1,2,0,0,2,3,15,15,6.0,13/01/2021
"Tete  Kenny Tete (Fulham, Defender)",FUL,4.3,67,2,4,0,0,1,0,2,0,10,10,6.7,13/01/2021
"Zambo Anguissa  André-Frank Zambo Anguissa (Fulham, Midfielder)",FUL,4.4,90,6,2,0,4,0,0,1,6,13,13,6.9,13/01/2021
"Carlos Vinicius  Carlos Vinicius Alves Morais (Tottenham Hotspur, Forward)",TOT,6.9,9,0,0,0,0,0,0,0,0,1,1,9.0,13/01/2021
"Aurier  Serge Aurier (Tottenham Hotspur, Defender)",TOT,5.0,90,5,1,1,4,3,2,4,1,25,25,3.6,13/01/2021
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,90,8,6,0,4,0,0,0,0,13,13,6.9,13/01/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,7,2,0,6,0,0,0,0,5,5,18.0,13/01/2021
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,90,2,3,0,0,0,1,1,0,27,3,30.0,13/01/2021
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,15,0,0,0,0,0,0,0,1,4,4,3.8,13/01/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,4,0,0,0,0,0,0,0,13,13,6.9,13/01/2021
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,81,5,1,0,4,1,2,2,5,17,17,4.8,13/01/2021
"Reguilón  Sergio Reguilón (Tottenham Hotspur, Defender)",TOT,5.0,90,5,9,0,2,3,2,2,0,30,21,4.3,13/01/2021
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,90,7,4,1,2,0,0,0,2,14,14,6.4,13/01/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,90,6,0,0,0,0,0,0,4,-4,-4,0.0,13/01/2021
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,90,3,6,0,4,0,0,0,0,12,12,7.5,13/01/2021
"Winks  Harry Winks (Tottenham Hotspur, Midfielder)",TOT,4.5,75,5,3,0,4,0,0,1,0,13,13,5.8,13/01/2021
