Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/01/2021
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/01/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,0.06,0.94,1500.0,0,0.0,0.0,inf,0.06,0.94,1500.0,12/01/2021
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,12/01/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,12/01/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/01/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,0.04,-0.04,2250.0,1,0.46,0.54,195.7,0.5,0.5,180.0,12/01/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,0,0.02,-0.02,4500.0,1,0.05,0.95,1800.0,0.07,0.93,1285.7,12/01/2021
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,12/01/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/01/2021
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,0,0.19,-0.19,452.6,0,0.0,0.0,inf,0.19,-0.19,452.6,12/01/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,0.02,-0.02,3800.0,0,0.0,0.0,inf,0.02,-0.02,3800.0,12/01/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,1,0.07,0.93,371.4,0,0.0,0.0,inf,0.07,0.93,371.4,12/01/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/01/2021
"Ait Nouri  Rayan Ait Nouri (Wolverhampton Wanderers, Defender)",WOL,4.5,1,0.21,0.79,428.6,0,0.01,-0.01,9000.0,0.22,0.78,409.1,12/01/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/01/2021
"Cutrone  Patrick Cutrone (Wolverhampton Wanderers, Forward)",WOL,5.9,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/01/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.03,-0.03,3000.0,0,0.23,-0.23,391.3,0.26,-0.26,346.2,12/01/2021
"Gibbs-White  Morgan Gibbs-White (Wolverhampton Wanderers, Midfielder)",WOL,4.5,0,0.02,-0.02,3200.0,0,0.0,0.0,inf,0.02,-0.02,3200.0,12/01/2021
"Hoever  Ki-Jana Hoever (Wolverhampton Wanderers, Defender)",WOL,4.0,0,0.01,-0.01,2600.0,0,0.0,0.0,inf,0.01,-0.01,2600.0,12/01/2021
"Vitor Ferreira  Vitor Machado Ferreira (Wolverhampton Wanderers, Midfielder)",WOL,4.7,0,0.01,-0.01,400.0,0,0.0,0.0,inf,0.01,-0.01,400.0,12/01/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.14,-0.14,614.3,0,0.0,0.0,inf,0.14,-0.14,614.3,12/01/2021
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,0,0.16,-0.16,562.5,0,0.08,-0.08,1125.0,0.24,-0.24,375.0,12/01/2021
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,12/01/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,12/01/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,0,0.0,0.0,inf,0,0.14,-0.14,557.1,0.14,-0.14,557.1,12/01/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,0,0.06,-0.06,1500.0,1,0.27,0.73,333.3,0.33,0.67,272.7,12/01/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/01/2021
