Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,90,3,4,0,0,0,0,1,0,16,4,22.5,16/01/2021
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,90,4,12,0,0,0,0,1,0,22,13,6.9,16/01/2021
"Button  David Button (West Bromwich Albion, Goalkeeper)",WBA,3.9,90,9,0,0,0,0,0,0,0,18,18,5.0,16/01/2021
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,82,4,0,0,4,0,0,2,1,48,9,9.1,16/01/2021
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,8,0,0,0,0,0,0,0,0,3,3,2.7,16/01/2021
"Gibbs  Kieran Gibbs (West Bromwich Albion, Defender)",WBA,4.3,90,3,7,1,0,0,0,0,0,8,8,11.3,16/01/2021
"Grosicki  Kamil Grosicki (West Bromwich Albion, Midfielder)",WBA,5.2,69,1,2,1,0,0,1,1,0,10,10,6.9,16/01/2021
"Livermore  Jake Livermore (West Bromwich Albion, Midfielder)",WBA,4.7,90,1,4,0,0,0,0,1,0,6,6,15.0,16/01/2021
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,90,3,8,0,0,0,0,0,0,10,10,9.0,16/01/2021
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,90,7,2,1,0,0,0,0,0,25,7,12.9,16/01/2021
"Robson-Kanu  Hal Robson-Kanu (West Bromwich Albion, Forward)",WBA,5.2,21,0,0,0,0,0,0,0,0,-2,-2,0.0,16/01/2021
"Sawyers  Romaine Sawyers (West Bromwich Albion, Midfielder)",WBA,4.6,90,12,0,0,2,0,0,1,1,10,10,9.0,16/01/2021
"Snodgrass  Robert Snodgrass (West Bromwich Albion, Midfielder)",WBA,5.6,90,9,5,2,0,0,0,0,1,13,13,6.9,16/01/2021
"Ait Nouri  Rayan Ait Nouri (Wolverhampton Wanderers, Defender)",WOL,4.5,26,4,0,0,0,0,0,0,1,2,2,13.0,16/01/2021
"Boly  Willy Boly (Wolverhampton Wanderers, Defender)",WOL,5.0,90,6,5,1,4,0,1,1,0,35,14,6.4,16/01/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,64,2,1,0,6,0,0,0,0,8,8,8.0,16/01/2021
"Cutrone  Patrick Cutrone (Wolverhampton Wanderers, Forward)",WOL,5.9,11,0,0,0,0,0,0,0,0,2,2,5.5,16/01/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,4,1,0,4,0,0,4,0,4,4,22.5,16/01/2021
"Gibbs-White  Morgan Gibbs-White (Wolverhampton Wanderers, Midfielder)",WOL,4.5,30,4,0,1,0,0,0,3,0,9,9,3.3,16/01/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,79,3,2,0,4,0,0,0,1,10,10,7.9,16/01/2021
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,90,4,0,0,2,2,0,5,4,19,19,4.7,16/01/2021
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,90,6,4,0,4,1,0,0,0,11,11,8.2,16/01/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,90,6,5,0,4,0,0,0,5,17,17,5.3,16/01/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,90,3,0,1,0,1,0,1,2,25,1,90.0,16/01/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,90,2,0,0,0,1,0,3,5,12,12,7.5,16/01/2021
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,60,9,2,1,4,0,0,0,0,11,11,5.5,16/01/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,4,0,0,0,0,0,0,0,11,11,8.2,16/01/2021
