Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,0,0.0,0.0,inf,0,0.06,-0.06,1500.0,0.06,-0.06,1500.0,12/09/2020
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,12/09/2020
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,0,0.02,-0.02,450.0,0,0.0,0.0,inf,0.02,-0.02,450.0,12/09/2020
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/09/2020
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,0,0.0,0.0,inf,0,0.15,-0.15,600.0,0.15,-0.15,600.0,12/09/2020
"McArthur  James McArthur (Crystal Palace, Midfielder)",CRY,4.5,0,0.0,0.0,inf,0,0.05,-0.05,1800.0,0.05,-0.05,1800.0,12/09/2020
"McCarthy (James)  James McCarthy (Crystal Palace, Midfielder)",CRY,4.3,0,0.11,-0.11,672.7,0,0.0,0.0,inf,0.11,-0.11,672.7,12/09/2020
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,0,0.11,-0.11,145.5,0,0.0,0.0,inf,0.11,-0.11,145.5,12/09/2020
"Mitchell  Tyrick Mitchell (Crystal Palace, Defender)",CRY,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,12/09/2020
"Schlupp  Jeffrey Schlupp (Crystal Palace, Midfielder)",CRY,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/09/2020
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,1,0.24,0.76,375.0,0,0.0,0.0,inf,0.24,0.76,375.0,12/09/2020
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/09/2020
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,0,0.01,-0.01,9000.0,1,0.85,0.15,105.9,0.86,0.14,104.7,12/09/2020
"Adams  Che Adams (Southampton, Forward)",SOU,7.0,0,0.14,-0.14,607.1,0,0.22,-0.22,386.4,0.36,-0.36,236.1,12/09/2020
"Bednarek  Jan Bednarek (Southampton, Defender)",SOU,4.5,0,0.01,-0.01,4500.0,0,0.0,0.0,inf,0.01,-0.01,4500.0,12/09/2020
"Bertrand  Ryan Bertrand (Southampton, Defender)",SOU,5.0,0,0.11,-0.11,818.2,0,0.0,0.0,inf,0.11,-0.11,818.2,12/09/2020
"Djenepo  Moussa Djenepo (Southampton, Midfielder)",SOU,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/09/2020
"Ings  Danny Ings (Southampton, Forward)",SOU,8.0,0,0.05,-0.05,1800.0,0,0.36,-0.36,250.0,0.41,-0.41,219.5,12/09/2020
"Long (Shane)  Shane Long (Southampton, Forward)",SOU,5.1,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/09/2020
"McCarthy (Alex)  Alex McCarthy (Southampton, Goalkeeper)",SOU,4.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,12/09/2020
"Redmond  Nathan Redmond (Southampton, Midfielder)",SOU,6.0,0,0.05,-0.05,1800.0,0,0.13,-0.13,692.3,0.18,-0.18,500.0,12/09/2020
"Romeu  Oriol Romeu (Southampton, Midfielder)",SOU,4.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,12/09/2020
"Smallbone  William Smallbone (Southampton, Midfielder)",SOU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/09/2020
"Stephens (Jack)  Jack Stephens (Southampton, Defender)",SOU,4.5,0,0.05,-0.05,1800.0,0,0.07,-0.07,1285.7,0.12,-0.12,750.0,12/09/2020
"Vestergaard  Jannik Vestergaard (Southampton, Defender)",SOU,5.0,0,0.14,-0.14,321.4,0,0.0,0.0,inf,0.14,-0.14,321.4,12/09/2020
"Walker-Peters  Kyle Walker-Peters (Southampton, Defender)",SOU,5.0,0,0.2,-0.2,450.0,0,0.0,0.0,inf,0.2,-0.2,450.0,12/09/2020
"Ward-Prowse  James Ward-Prowse (Southampton, Midfielder)",SOU,6.5,0,0.05,-0.05,1800.0,0,0.12,-0.12,750.0,0.17,-0.17,529.4,12/09/2020
