Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,0,0.53,-0.53,169.8,0,0.05,-0.05,1800.0,0.58,-0.58,155.2,14/09/2020
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,0,0.01,-0.01,7100.0,0,0.0,0.0,inf,0.01,-0.01,7100.0,14/09/2020
"Berge  Sander Berge (Sheffield United, Midfielder)",SHU,4.9,0,0.09,-0.09,155.6,0,0.0,0.0,inf,0.09,-0.09,155.6,14/09/2020
"Egan  John Egan (Sheffield United, Defender)",SHU,4.7,0,0.01,-0.01,9000.0,0,0.04,-0.04,2250.0,0.05,-0.05,1800.0,14/09/2020
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,0,0.1,-0.1,900.0,0,0.04,-0.04,2250.0,0.14,-0.14,642.9,14/09/2020
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,0,0.07,-0.07,1285.7,0,0.0,0.0,inf,0.07,-0.07,1285.7,14/09/2020
"McBurnie  Oliver McBurnie (Sheffield United, Forward)",SHU,5.6,0,0.09,-0.09,1000.0,0,0.14,-0.14,642.9,0.23,-0.23,391.3,14/09/2020
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,0,0.01,-0.01,1900.0,0,0.03,-0.03,633.3,0.04,-0.04,475.0,14/09/2020
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,0,0.08,-0.08,950.0,0,0.0,0.0,inf,0.08,-0.08,950.0,14/09/2020
"O'Connell  Jack O&#039;Connell (Sheffield United, Defender)",SHU,4.7,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,14/09/2020
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,14/09/2020
"Sharp  Billy Sharp (Sheffield United, Forward)",SHU,5.5,0,0.01,-0.01,9000.0,0,0.68,-0.68,132.4,0.69,-0.69,130.4,14/09/2020
"Stevens (Enda)  Enda Stevens (Sheffield United, Defender)",SHU,5.0,0,0.07,-0.07,1285.7,0,0.06,-0.06,1500.0,0.13,-0.13,692.3,14/09/2020
"Boly  Willy Boly (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/09/2020
"Buur  Oskar Buur (Wolverhampton Wanderers, Defender)",WOL,3.9,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/09/2020
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/09/2020
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,14/09/2020
"Raúl Jiménez  Raul Alonso Jimenez Rodriguez (Wolverhampton Wanderers, Forward)",WOL,7.5,0,0.03,-0.03,3000.0,1,1.03,-0.03,87.4,1.06,-0.06,84.9,14/09/2020
"Vitor Ferreira  Vitor Machado Ferreira (Wolverhampton Wanderers, Midfielder)",WOL,4.7,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/09/2020
"Marçal  Fernando Marçal de Oliveira (Wolverhampton Wanderers, Defender)",WOL,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/09/2020
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,0,0.12,-0.12,716.7,0,0.0,0.0,inf,0.12,-0.12,716.7,14/09/2020
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,1,0.05,0.95,1360.0,0,0.0,0.0,inf,0.05,0.95,1360.0,14/09/2020
"Podence  Daniel Podence (Wolverhampton Wanderers, Midfielder)",WOL,5.5,1,0.05,0.95,1520.0,0,0.0,0.0,inf,0.05,0.95,1520.0,14/09/2020
"Saiss  Romain Saiss (Wolverhampton Wanderers, Defender)",WOL,5.0,0,0.0,0.0,inf,1,0.45,0.55,200.0,0.45,0.55,200.0,14/09/2020
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,0,0.0,0.0,inf,0,0.11,-0.11,818.2,0.11,-0.11,818.2,14/09/2020
"Ruben Neves  Rúben Diogo da Silva Neves (Wolverhampton Wanderers, Midfielder)",WOL,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/09/2020
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,14/09/2020
