Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,1,89,0,1,1,0,0,0,1,0,0,0,0,TOT,1,13/09/2020,FWD,False
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,TOT,1,13/09/2020,DEF,False
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,0,1,1,0,0,0,0,0,0,0,0,0,0,TOT,1,13/09/2020,MID,False
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,1,90,0,0,0,1,0,1,1,0,0,0,0,TOT,1,13/09/2020,DEF,False
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,TOT,1,13/09/2020,MID,False
"Kean  Moise Kean (Everton, Forward)",EVE,5.7,0,1,1,0,0,0,0,0,0,0,0,0,0,TOT,1,13/09/2020,FWD,False
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,TOT,1,13/09/2020,DEF,False
"Allan  Allan Marques Loureiro (Everton, Midfielder)",EVE,4.5,1,90,0,0,0,0,0,0,1,0,0,0,0,TOT,1,13/09/2020,MID,False
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,TOT,1,13/09/2020,DEF,False
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,1,90,0,0,0,0,0,0,1,0,0,0,0,TOT,1,13/09/2020,GKP,False
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,1,89,0,1,0,0,0,0,1,0,0,0,0,TOT,1,13/09/2020,MID,False
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,22,1,0,0,0,0,0,0,0,0,0,0,TOT,1,13/09/2020,MID,False
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,1,68,0,1,0,0,0,0,1,0,0,0,0,TOT,1,13/09/2020,MID,False
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,1,90,0,0,0,0,0,0,1,0,0,0,0,TOT,1,13/09/2020,FWD,False
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,1,13/09/2020,DEF,True
"Alli  Bamidele Alli (Tottenham Hotspur, Midfielder)",TOT,6.5,1,45,0,1,0,0,0,0,0,0,0,0,0,EVE,1,13/09/2020,MID,True
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,0,30,1,0,0,0,0,0,0,0,0,0,0,EVE,1,13/09/2020,MID,True
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,1,13/09/2020,DEF,True
"Dier  Eric Dier (Tottenham Hotspur, Defender)",TOT,4.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,1,13/09/2020,DEF,True
"Doherty  Matt Doherty (Tottenham Hotspur, Defender)",TOT,5.0,1,76,0,1,0,0,0,0,0,1,0,0,0,EVE,1,13/09/2020,DEF,True
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,1,90,0,0,0,0,0,0,0,1,0,1,0,EVE,1,13/09/2020,MID,True
"Kane  Harry Kane (Tottenham Hotspur, Forward)",TOT,12.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,1,13/09/2020,FWD,True
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,1,13/09/2020,GKP,True
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,0,14,1,0,0,0,0,0,0,0,0,0,0,EVE,1,13/09/2020,MID,True
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,1,13/09/2020,MID,True
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,0,45,1,0,0,0,0,0,0,1,0,0,0,EVE,1,13/09/2020,MID,True
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,1,90,0,0,0,0,0,0,0,1,0,0,0,EVE,1,13/09/2020,MID,True
"Winks  Harry Winks (Tottenham Hotspur, Midfielder)",TOT,4.5,1,60,0,1,0,0,0,0,0,1,0,0,0,EVE,1,13/09/2020,MID,True
