Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,1,0.05,0.95,100.0,0,0.1,-0.1,50.0,0.15,0.85,33.3,12/09/2020
"Joelinton  Joelinton Cássio Apolinário de Lira (Newcastle United, Forward)",NEW,6.0,0,0.02,-0.02,750.0,0,0.03,-0.03,500.0,0.05,-0.05,300.0,12/09/2020
"Carroll  Andy Carroll (Newcastle United, Forward)",NEW,5.1,0,0.04,-0.04,2200.0,0,0.25,-0.25,352.0,0.29,-0.29,303.4,12/09/2020
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/09/2020
"Fernández  Federico Fernández (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.03,-0.03,3000.0,0.03,-0.03,3000.0,12/09/2020
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,12/09/2020
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,1,0.32,0.68,281.3,1,0.07,0.93,1285.7,0.39,1.61,230.8,12/09/2020
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/09/2020
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,12/09/2020
"Longstaff (Sean)  Sean Longstaff (Newcastle United, Midfielder)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/09/2020
"Manquillo  Javier Manquillo (Newcastle United, Defender)",NEW,4.0,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,12/09/2020
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,0,0.06,-0.06,1250.0,0,0.03,-0.03,2500.0,0.09,-0.09,833.3,12/09/2020
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,0,0.1,-0.1,900.0,0,0.2,-0.2,450.0,0.3,-0.3,300.0,12/09/2020
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,0,0.07,-0.07,1214.3,1,0.9,0.1,94.4,0.97,0.03,87.6,12/09/2020
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,0,0.02,-0.02,4500.0,0,0.18,-0.18,500.0,0.2,-0.2,450.0,12/09/2020
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,0,0.01,-0.01,8900.0,0,0.09,-0.09,988.9,0.1,-0.1,890.0,12/09/2020
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,12/09/2020
"Diop  Issa Diop (West Ham United, Defender)",WHU,4.5,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,12/09/2020
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,12/09/2020
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,0,0.02,-0.02,3350.0,0,0.09,-0.09,744.4,0.11,-0.11,609.1,12/09/2020
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,0,0.23,-0.23,391.3,0,0.0,0.0,inf,0.23,-0.23,391.3,12/09/2020
"Haller  Sébastien Haller (West Ham United, Forward)",WHU,6.1,0,0.62,-0.62,37.1,0,0.19,-0.19,121.1,0.81,-0.81,28.4,12/09/2020
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,0,0.05,-0.05,1340.0,0,0.0,0.0,inf,0.05,-0.05,1340.0,12/09/2020
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,0,0.02,-0.02,4500.0,0,0.05,-0.05,1800.0,0.07,-0.07,1285.7,12/09/2020
"Felipe Anderson  Felipe Anderson Pereira Gomes (West Ham United, Midfielder)",WHU,6.1,0,0.01,-0.01,100.0,0,0.0,0.0,inf,0.01,-0.01,100.0,12/09/2020
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,0,0.08,-0.08,1125.0,0,0.0,0.0,inf,0.08,-0.08,1125.0,12/09/2020
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,0,0.01,-0.01,9000.0,0,0.4,-0.4,225.0,0.41,-0.41,219.5,12/09/2020
"Yarmolenko  Andriy Yarmolenko (West Ham United, Midfielder)",WHU,5.5,0,0.01,-0.01,2300.0,0,0.09,-0.09,255.6,0.1,-0.1,230.0,12/09/2020
