Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Barkley  Ross Barkley (Aston Villa, Midfielder)",AVL,5.5,83,4,2,0,6,0,1,1,0,12,12,6.9,27/01/2021
"Cash  Matthew Cash (Aston Villa, Defender)",AVL,5.0,90,10,3,0,2,1,0,1,0,12,12,7.5,27/01/2021
"Davis (Keinan)  Keinan Davis (Aston Villa, Forward)",AVL,4.5,2,0,0,0,0,0,0,0,0,3,3,0.7,27/01/2021
"El Ghazi  Anwar El Ghazi (Aston Villa, Midfielder)",AVL,6.0,7,1,0,0,0,0,0,0,0,1,1,7.0,27/01/2021
"Grealish  Jack Grealish (Aston Villa, Midfielder)",AVL,8.0,90,2,0,0,4,0,0,5,4,29,11,8.2,27/01/2021
"Trezeguet  Mahmoud Hassan (Aston Villa, Midfielder)",AVL,5.5,7,0,0,1,0,0,0,0,0,5,5,1.4,27/01/2021
"Konsa Ngoyo  Ezri Konsa Ngoyo (Aston Villa, Defender)",AVL,5.0,90,4,5,0,2,0,0,0,0,6,6,15.0,27/01/2021
"Martinez  Emiliano Martinez (Aston Villa, Goalkeeper)",AVL,5.5,90,10,0,0,0,0,0,1,0,14,14,6.4,27/01/2021
"McGinn  John McGinn (Aston Villa, Midfielder)",AVL,6.0,90,4,2,0,2,0,1,2,0,15,15,6.0,27/01/2021
"Mings  Tyrone Mings (Aston Villa, Defender)",AVL,5.0,90,4,9,0,0,0,0,0,0,10,10,9.0,27/01/2021
"Douglas Luiz  Douglas Luiz Soares de Paulo (Aston Villa, Midfielder)",AVL,4.5,88,7,0,0,4,0,1,1,0,21,12,7.3,27/01/2021
"Targett  Matt Targett (Aston Villa, Defender)",AVL,5.0,90,3,2,1,2,1,1,1,1,27,18,5.0,27/01/2021
"Traore (Bertrand)  Bertrand Traore (Aston Villa, Midfielder)",AVL,6.0,83,7,1,0,0,0,0,1,1,1,1,83.0,27/01/2021
"Watkins  Ollie Watkins (Aston Villa, Forward)",AVL,7.5,90,1,1,0,0,0,0,2,0,25,1,90.0,27/01/2021
"Gudmundsson  Johann Berg Gudmundsson (Burnley, Midfielder)",BUR,5.5,30,1,0,0,0,0,0,0,0,2,2,15.0,27/01/2021
"Brady  Robert Brady (Burnley, Midfielder)",BUR,5.0,60,3,1,1,0,0,0,0,1,5,5,12.0,27/01/2021
"Brownhill  Josh Brownhill (Burnley, Midfielder)",BUR,4.5,45,4,2,0,0,0,0,0,0,5,5,9.0,27/01/2021
"Cork  Jack Cork (Burnley, Midfielder)",BUR,4.5,45,2,1,0,0,0,0,1,0,3,3,15.0,27/01/2021
"Lowton  Matthew Lowton (Burnley, Defender)",BUR,4.5,90,2,3,1,0,0,0,0,0,7,7,12.9,27/01/2021
"McNeil  Dwight McNeil (Burnley, Midfielder)",BUR,6.0,90,7,0,0,0,3,0,2,1,38,11,8.2,27/01/2021
"Mee  Ben Mee (Burnley, Defender)",BUR,5.0,90,6,7,0,0,0,0,0,0,23,11,8.2,27/01/2021
"Pieters  Erik Pieters (Burnley, Defender)",BUR,4.5,90,4,5,2,0,0,0,2,0,22,13,6.9,27/01/2021
"Pope  Nick Pope (Burnley, Goalkeeper)",BUR,5.5,90,11,2,0,0,0,0,0,0,26,26,3.5,27/01/2021
"Rodriguez  Jay Rodriguez (Burnley, Forward)",BUR,5.5,75,2,0,2,0,0,0,0,0,2,2,37.5,27/01/2021
"Tarkowski  James Tarkowski (Burnley, Defender)",BUR,5.0,90,3,6,0,0,0,0,0,0,5,5,18.0,27/01/2021
"Vydra  Matej Vydra (Burnley, Forward)",BUR,5.5,15,1,0,0,0,0,0,0,0,2,2,7.5,27/01/2021
"Westwood  Ashley Roy Westwood (Burnley, Midfielder)",BUR,5.5,90,6,5,1,0,1,1,2,1,26,17,5.3,27/01/2021
"Wood  Chris Wood (Burnley, Forward)",BUR,7.0,90,2,1,1,0,0,0,0,1,32,5,18.0,27/01/2021
