Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,17,1,1,0,0,0,0,3,1,16,7,2.4,26/01/2021
"Batshuayi  Michy Batshuayi (Crystal Palace, Forward)",CRY,5.5,24,1,0,0,0,0,0,0,0,25,1,24.0,26/01/2021
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,73,2,1,0,0,0,0,1,0,14,5,14.6,26/01/2021
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,90,4,7,0,4,0,0,0,0,14,14,6.4,26/01/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,90,9,1,1,2,1,1,1,1,16,16,5.6,26/01/2021
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,90,9,0,0,0,0,0,0,0,19,19,4.7,26/01/2021
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,90,10,1,2,2,0,0,0,0,13,13,6.9,26/01/2021
"McArthur  James McArthur (Crystal Palace, Midfielder)",CRY,4.5,90,7,3,0,4,2,0,1,1,13,13,6.9,26/01/2021
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,73,8,4,0,4,0,0,0,0,12,12,6.1,26/01/2021
"Mitchell  Tyrick Mitchell (Crystal Palace, Defender)",CRY,4.5,90,6,1,3,2,0,0,0,1,17,17,5.3,26/01/2021
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,17,2,1,0,0,0,0,0,1,4,4,4.3,26/01/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,66,6,5,0,0,0,0,0,0,5,5,13.2,26/01/2021
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,90,6,2,0,2,0,0,0,1,10,10,9.0,26/01/2021
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,90,3,0,0,2,1,0,0,3,18,0,0.0,26/01/2021
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,83,5,0,0,0,0,1,2,3,8,-1,0.0,26/01/2021
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,87,8,1,1,4,0,1,3,3,15,15,5.8,26/01/2021
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,81,3,1,0,0,1,1,1,0,17,8,10.1,26/01/2021
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,90,6,8,0,2,0,1,1,0,15,15,6.0,26/01/2021
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,90,9,0,0,2,0,1,2,0,23,14,6.4,26/01/2021
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,90,3,4,1,0,0,0,0,0,26,11,8.2,26/01/2021
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,90,9,0,0,0,0,0,0,0,11,11,8.2,26/01/2021
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,90,5,1,0,4,0,0,4,3,17,17,5.3,26/01/2021
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,9,0,0,0,0,0,0,0,0,3,3,3.0,26/01/2021
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,3,2,0,0,0,0,0,0,0,3,3,1.0,26/01/2021
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,90,6,4,1,2,0,0,0,0,14,14,6.4,26/01/2021
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,90,8,3,2,6,1,0,1,1,21,21,4.3,26/01/2021
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,90,8,5,2,2,0,0,0,0,50,14,6.4,26/01/2021
"Yarmolenko  Andriy Yarmolenko (West Ham United, Midfielder)",WHU,5.5,7,1,0,0,0,0,0,0,0,1,1,7.0,26/01/2021
