Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,1,0.12,0.88,141.7,0,0.0,0.0,inf,0.12,0.88,141.7,26/01/2021
"Batshuayi  Michy Batshuayi (Crystal Palace, Forward)",CRY,5.5,0,0.0,0.0,inf,1,0.11,0.89,218.2,0.11,0.89,218.2,26/01/2021
"Benteke  Christian Benteke (Crystal Palace, Forward)",CRY,6.5,1,0.06,0.94,1216.7,0,0.0,0.0,inf,0.06,0.94,1216.7,26/01/2021
"Cahill  Gary Cahill (Crystal Palace, Defender)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,0,0.12,-0.12,750.0,0,0.0,0.0,inf,0.12,-0.12,750.0,26/01/2021
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,26/01/2021
"McArthur  James McArthur (Crystal Palace, Midfielder)",CRY,4.5,0,0.03,-0.03,3000.0,0,0.03,-0.03,3000.0,0.06,-0.06,1500.0,26/01/2021
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,0,0.07,-0.07,1042.9,0,0.0,0.0,inf,0.07,-0.07,1042.9,26/01/2021
"Mitchell  Tyrick Mitchell (Crystal Palace, Defender)",CRY,4.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,26/01/2021
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,0,0.05,-0.05,340.0,0,0.0,0.0,inf,0.05,-0.05,340.0,26/01/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,0,0.05,-0.05,1320.0,0,0.0,0.0,inf,0.05,-0.05,1320.0,26/01/2021
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,0,0.03,-0.03,3000.0,0,0.0,0.0,inf,0.03,-0.03,3000.0,26/01/2021
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,0,0.17,-0.17,529.4,1,0.56,0.44,160.7,0.73,0.27,123.3,26/01/2021
"Antonio  Michail Antonio (West Ham United, Forward)",WHU,7.5,1,0.6,0.4,138.3,0,1.44,-1.44,57.6,2.04,-1.04,40.7,26/01/2021
"Benrahma  Said Benrahma (West Ham United, Midfielder)",WHU,6.0,0,0.53,-0.53,164.2,0,0.35,-0.35,248.6,0.88,-0.88,98.9,26/01/2021
"Bowen  Jarrod Bowen (West Ham United, Midfielder)",WHU,6.5,1,0.21,0.79,385.7,0,0.04,-0.04,2025.0,0.25,0.75,324.0,26/01/2021
"Coufal  Vladimir Coufal (West Ham United, Defender)",WHU,5.0,0,0.02,-0.02,4500.0,0,0.05,-0.05,1800.0,0.07,-0.07,1285.7,26/01/2021
"Cresswell (Aaron)  Aaron Cresswell (West Ham United, Defender)",WHU,5.5,1,0.01,0.99,9000.0,0,0.05,-0.05,1800.0,0.06,0.94,1500.0,26/01/2021
"Dawson  Craig Dawson (West Ham United, Defender)",WHU,5.0,0,0.0,0.0,inf,1,0.21,0.79,428.6,0.21,0.79,428.6,26/01/2021
"Fabianski  Lukasz Fabianski (West Ham United, Goalkeeper)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Fornals  Pablo Fornals (West Ham United, Midfielder)",WHU,6.0,0,0.05,-0.05,1800.0,0,0.08,-0.08,1125.0,0.13,-0.13,692.3,26/01/2021
"Fredericks  Ryan Fredericks (West Ham United, Defender)",WHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Noble  Mark Noble (West Ham United, Midfielder)",WHU,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Ogbonna  Angelo Ogbonna (West Ham United, Defender)",WHU,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Rice  Declan Rice (West Ham United, Midfielder)",WHU,5.0,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,26/01/2021
"Soucek  Tomas Soucek (West Ham United, Midfielder)",WHU,6.0,0,0.01,-0.01,9000.0,2,0.88,1.12,102.3,0.89,1.11,101.1,26/01/2021
"Yarmolenko  Andriy Yarmolenko (West Ham United, Midfielder)",WHU,5.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
