Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,89,1,4,0,0,0,0,0,0,6,6,14.8,27/01/2021
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,1,0,0,0,0,0,0,0,0,3,3,0.3,27/01/2021
"Davies (Tom)  Tom Davies (Everton, Midfielder)",EVE,5.0,90,3,6,0,0,0,0,0,3,11,11,8.2,27/01/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,90,10,3,1,0,3,0,2,0,15,15,6.0,27/01/2021
"Godfrey  Ben Godfrey (Everton, Defender)",EVE,5.0,90,3,8,1,0,0,0,0,1,14,14,6.4,27/01/2021
"Holgate  Mason Holgate (Everton, Defender)",EVE,4.5,80,7,5,1,0,1,0,1,0,12,12,6.7,27/01/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,10,1,0,0,0,0,0,0,0,2,2,5.0,27/01/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,90,2,6,1,0,0,0,0,0,11,11,8.2,27/01/2021
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,90,4,5,0,4,0,0,0,0,11,11,8.2,27/01/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,90,5,2,0,0,0,0,0,0,16,16,5.6,27/01/2021
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,85,9,0,0,4,0,0,0,2,23,5,17.0,27/01/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,5,0,0,0,0,0,0,1,0,4,4,1.3,27/01/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,90,7,0,2,4,0,0,0,5,15,15,6.0,27/01/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,90,6,3,0,0,0,0,0,1,-3,-3,0.0,27/01/2021
"Albrighton  Marc Albrighton (Leicester City, Midfielder)",LEI,5.5,68,3,0,0,0,0,0,0,0,6,6,11.3,27/01/2021
"Barnes (Harvey)  Harvey Barnes (Leicester City, Midfielder)",LEI,7.0,90,2,1,0,0,0,0,5,4,19,10,9.0,27/01/2021
"Castagne  Timothy Castagne (Leicester City, Defender)",LEI,5.5,90,4,5,2,4,0,0,2,0,17,17,5.3,27/01/2021
"Evans  Jonny Evans (Leicester City, Defender)",LEI,5.5,77,8,4,0,4,0,0,0,0,14,14,5.5,27/01/2021
"Fofana  Wesley Fofana (Leicester City, Defender)",LEI,4.5,90,7,5,1,4,0,0,1,0,16,16,5.6,27/01/2021
"Justin  James Justin (Leicester City, Defender)",LEI,5.0,90,2,4,0,6,0,0,1,0,9,9,10.0,27/01/2021
"Maddison  James Maddison (Leicester City, Midfielder)",LEI,7.0,90,3,2,1,4,0,0,1,1,13,13,6.9,27/01/2021
"Mendy (Nampalys)  Nampalys Mendy (Leicester City, Midfielder)",LEI,4.5,48,6,1,0,6,0,0,0,0,9,9,5.3,27/01/2021
"Ndidi  Onyinye Wilfred Ndidi (Leicester City, Midfielder)",LEI,5.0,42,2,4,2,0,0,0,0,0,6,6,7.0,27/01/2021
"Ayoze Pérez  Ayoze Pérez Gutiérrez (Leicester City, Midfielder)",LEI,6.0,90,2,0,2,0,0,0,0,1,6,6,15.0,27/01/2021
"Schmeichel  Kasper Schmeichel (Leicester City, Goalkeeper)",LEI,5.0,90,5,0,0,0,0,0,0,0,9,9,10.0,27/01/2021
"Söyüncü  Caglar Söyüncü (Leicester City, Defender)",LEI,5.0,13,1,3,0,0,0,0,0,0,4,4,3.3,27/01/2021
"Tielemans  Youri Tielemans (Leicester City, Midfielder)",LEI,6.5,90,8,0,0,4,0,0,2,2,33,15,6.0,27/01/2021
"Ünder  Cengiz Ünder (Leicester City, Midfielder)",LEI,5.7,22,2,0,0,0,0,0,1,1,3,3,7.3,27/01/2021
