Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Bruno Fernandes  Bruno Miguel Borges Fernandes (Manchester United, Midfielder)",MUN,12.0,90,5,1,1,4,0,1,3,1,17,17,5.3,27/01/2021
"Cavani  Edinson Cavani (Manchester United, Forward)",MUN,8.5,24,1,0,0,0,0,0,0,0,1,1,24.0,27/01/2021
"De Gea  David De Gea (Manchester United, Goalkeeper)",MUN,5.0,90,4,1,0,0,0,0,0,0,9,9,10.0,27/01/2021
"Greenwood (Mason)  Mason Greenwood (Manchester United, Midfielder)",MUN,7.5,66,0,0,0,0,0,0,0,2,3,3,22.0,27/01/2021
"Maguire (Harry)  Harry Maguire (Manchester United, Defender)",MUN,5.5,90,9,4,0,4,0,0,0,0,24,12,7.5,27/01/2021
"Martial  Anthony Martial (Manchester United, Forward)",MUN,8.0,90,0,0,0,6,0,0,0,1,7,7,12.9,27/01/2021
"Matic  Nemanja Matic (Manchester United, Midfielder)",MUN,4.5,90,7,1,0,6,0,0,0,1,13,13,6.9,27/01/2021
"Pogba  Paul Pogba (Manchester United, Midfielder)",MUN,7.5,90,8,1,3,4,0,0,1,5,18,18,5.0,27/01/2021
"Rashford  Marcus Rashford (Manchester United, Midfielder)",MUN,9.5,90,3,0,0,2,0,0,0,5,11,11,8.2,27/01/2021
"Shaw  Luke Shaw (Manchester United, Defender)",MUN,5.5,8,2,0,0,0,1,0,1,0,5,5,1.6,27/01/2021
"Alex Telles  Alex Nicolao Telles (Manchester United, Defender)",MUN,5.0,82,7,1,0,6,0,0,2,0,25,16,5.1,27/01/2021
"Tuanzebe  Axel Tuanzebe (Manchester United, Defender)",MUN,4.5,82,7,3,0,6,0,0,0,0,11,11,7.5,27/01/2021
"Wan-Bissaka  Aaron Wan-Bissaka (Manchester United, Defender)",MUN,5.5,90,4,1,1,4,0,0,3,2,16,16,5.6,27/01/2021
"van de Beek  Donny van de Beek (Manchester United, Midfielder)",MUN,6.0,8,2,0,1,0,0,0,0,0,5,5,1.6,27/01/2021
"Ampadu  Ethan Ampadu (Sheffield United, Defender)",SHU,4.5,90,8,11,0,0,0,0,0,0,11,11,8.2,27/01/2021
"Baldock  George Baldock (Sheffield United, Defender)",SHU,4.9,90,2,1,0,0,0,0,1,1,5,5,18.0,27/01/2021
"Basham  Chris Basham (Sheffield United, Defender)",SHU,4.6,90,9,10,0,0,0,0,0,0,12,12,7.5,27/01/2021
"Bogle  Jayden Bogle (Sheffield United, Defender)",SHU,4.3,37,1,1,0,0,0,0,0,0,0,0,0.0,27/01/2021
"Brewster  Rhian Brewster (Sheffield United, Forward)",SHU,4.2,10,1,1,1,0,0,0,0,1,5,5,2.0,27/01/2021
"Bryan (Kean)  Kean Bryan (Sheffield United, Defender)",SHU,3.9,53,2,2,0,0,0,0,0,0,15,3,17.7,27/01/2021
"Oliver Burke  Oliver Burke (Sheffield United, Midfielder)",SHU,4.1,20,0,0,0,0,0,0,0,0,20,-1,0.0,27/01/2021
"Fleck  John Fleck (Sheffield United, Midfielder)",SHU,5.6,90,4,4,0,0,0,0,2,1,17,8,11.3,27/01/2021
"Jagielka  Phil Jagielka (Sheffield United, Defender)",SHU,3.9,90,4,9,0,0,0,0,0,0,9,9,10.0,27/01/2021
"Lundstram  John Lundstram (Sheffield United, Midfielder)",SHU,4.8,90,10,5,1,2,0,0,2,0,22,13,6.9,27/01/2021
"McGoldrick  David McGoldrick (Sheffield United, Forward)",SHU,5.2,80,4,0,1,0,0,0,0,0,2,2,40.0,27/01/2021
"Norwood  Oliver Norwood (Sheffield United, Midfielder)",SHU,4.5,90,7,5,1,0,0,0,0,0,10,10,9.0,27/01/2021
"Ramsdale  Aaron Ramsdale (Sheffield United, Goalkeeper)",SHU,4.6,90,9,2,0,0,0,0,0,0,16,16,5.6,27/01/2021
"Sharp  Billy Sharp (Sheffield United, Forward)",SHU,5.5,70,0,0,0,0,0,0,0,0,-1,-1,0.0,27/01/2021
