Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,56,5,1,1,2,0,0,0,1,4,4,14.0,26/01/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,90,6,4,2,2,0,0,1,1,16,16,5.6,26/01/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,60,3,0,0,0,0,0,0,0,2,2,30.0,26/01/2021
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,90,9,9,0,2,0,0,0,0,13,13,6.9,26/01/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,90,6,1,0,2,1,0,1,0,7,7,12.9,26/01/2021
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,90,2,2,0,0,0,0,2,2,36,9,10.0,26/01/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,90,4,2,0,0,0,0,0,0,21,0,0.0,26/01/2021
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,34,4,1,0,0,0,0,0,0,3,3,11.3,26/01/2021
"Diego Llorente  Diego Javier Llorente Ríos (Leeds United, Defender)",LEE,4.5,10,1,0,0,0,0,0,0,0,3,3,3.3,26/01/2021
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,90,9,0,0,0,0,0,0,0,17,17,5.3,26/01/2021
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,90,5,2,0,0,0,0,2,2,13,4,22.5,26/01/2021
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,90,5,1,0,2,0,0,1,1,10,10,9.0,26/01/2021
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,30,2,1,1,0,0,0,1,1,5,5,6.0,26/01/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,80,7,11,0,2,0,0,0,0,15,15,5.3,26/01/2021
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,90,4,1,3,0,0,0,3,3,33,15,6.0,26/01/2021
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,90,6,0,0,0,0,0,0,0,11,11,8.2,26/01/2021
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,77,2,1,0,0,0,0,2,0,5,5,15.4,26/01/2021
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,13,0,0,0,0,0,0,0,0,2,2,6.5,26/01/2021
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,90,8,3,1,0,0,0,1,1,13,13,6.9,26/01/2021
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,90,6,2,0,2,0,0,1,0,11,11,8.2,26/01/2021
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,90,7,6,0,0,0,0,2,0,9,9,10.0,26/01/2021
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,90,4,5,1,0,0,0,1,2,11,11,8.2,26/01/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,64,5,0,0,0,1,0,1,1,7,7,9.1,26/01/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,26,2,0,0,0,0,0,1,2,0,0,0.0,26/01/2021
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,90,10,8,0,0,0,0,0,2,7,7,12.9,26/01/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,90,11,0,0,0,0,0,4,3,15,15,6.0,26/01/2021
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,90,2,1,0,0,0,1,1,2,17,8,11.3,26/01/2021
