Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Alioski  Ezgjan Alioski (Leeds United, Defender)",LEE,4.4,0,0.02,-0.02,2800.0,0,0.0,0.0,inf,0.02,-0.02,2800.0,26/01/2021
"Ayling  Luke Ayling (Leeds United, Defender)",LEE,4.5,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,26/01/2021
"Bamford  Patrick Bamford (Leeds United, Forward)",LEE,8.0,0,0.03,-0.03,2000.0,0,0.05,-0.05,1200.0,0.08,-0.08,750.0,26/01/2021
"Cooper  Liam Cooper (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Dallas  Stuart Dallas (Leeds United, Defender)",LEE,5.5,0,0.07,-0.07,1285.7,0,0.12,-0.12,750.0,0.19,-0.19,473.7,26/01/2021
"Raphinha  Raphael Dias Belloli (Leeds United, Midfielder)",LEE,6.5,1,0.33,0.67,272.7,1,0.22,0.78,409.1,0.55,1.45,163.6,26/01/2021
"Harrison  Jack Harrison (Leeds United, Midfielder)",LEE,6.0,0,0.02,-0.02,4500.0,1,0.12,0.88,750.0,0.14,0.86,642.9,26/01/2021
"Klich  Mateusz Klich (Leeds United, Midfielder)",LEE,5.5,0,0.0,0.0,inf,0,0.05,-0.05,680.0,0.05,-0.05,680.0,26/01/2021
"Diego Llorente  Diego Javier Llorente Ríos (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Meslier  Illan Meslier (Leeds United, Goalkeeper)",LEE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Rodrigo  Rodrigo Moreno Machado (Leeds United, Forward)",LEE,6.5,1,0.07,0.93,1285.7,0,0.15,-0.15,600.0,0.22,0.78,409.1,26/01/2021
"Phillips (Kalvin)  Kalvin Phillips (Leeds United, Midfielder)",LEE,5.0,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,26/01/2021
"Roberts (Tyler)  Tyler Roberts (Leeds United, Midfielder)",LEE,5.0,0,0.01,-0.01,3000.0,0,0.42,-0.42,71.4,0.43,-0.43,69.8,26/01/2021
"Struijk  Pascal Struijk (Leeds United, Defender)",LEE,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,0.02,-0.02,4500.0,1,0.38,0.62,236.8,0.4,0.6,225.0,26/01/2021
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,0,0.04,-0.04,1925.0,0,0.08,-0.08,962.5,0.12,-0.12,641.7,26/01/2021
"Gayle  Dwight Gayle (Newcastle United, Forward)",NEW,5.5,0,0.0,0.0,inf,0,0.07,-0.07,185.7,0.07,-0.07,185.7,26/01/2021
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,26/01/2021
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,0,0.02,-0.02,4500.0,0,0.0,0.0,inf,0.02,-0.02,4500.0,26/01/2021
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,0,0.06,-0.06,1500.0,0,0.29,-0.29,310.3,0.35,-0.35,257.1,26/01/2021
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.06,-0.06,1500.0,0.06,-0.06,1500.0,26/01/2021
"Jacob Murphy  Jacob Murphy (Newcastle United, Midfielder)",NEW,5.0,0,0.02,-0.02,3200.0,0,0.11,-0.11,581.8,0.13,-0.13,492.3,26/01/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,0,0.02,-0.02,1300.0,0,0.03,-0.03,866.7,0.05,-0.05,520.0,26/01/2021
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,0,0.07,-0.07,1285.7,0,0.12,-0.12,750.0,0.19,-0.19,473.7,26/01/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,0,0.24,-0.24,375.0,0,0.2,-0.2,450.0,0.44,-0.44,204.5,26/01/2021
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,1,0.03,0.97,3000.0,0,0.04,-0.04,2250.0,0.07,0.93,1285.7,26/01/2021
