Name,Team,Cost,Starts,Mins,On,Off,G,A,FA,TA,CS,GC,OG,PL YC,PL RC,Vs,GW,date,Position,Home
"João Cancelo  João Pedro Cavaco Cancelo (Manchester City, Defender)",MCI,6.0,1,90,0,0,1,1,0,1,1,0,0,0,0,WBA,20,26/01/2021,DEF,False
"Foden  Phil Foden (Manchester City, Midfielder)",MCI,8.0,1,52,0,1,0,0,0,0,0,0,0,0,0,WBA,20,26/01/2021,MID,False
"Rúben Dias  Rúben Santos Gato Alves Dias (Manchester City, Defender)",MCI,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,20,26/01/2021,DEF,False
"Gündogan  Ilkay Gündogan (Manchester City, Midfielder)",MCI,7.5,1,52,0,1,2,0,0,0,0,0,0,0,0,WBA,20,26/01/2021,MID,False
"Rodri  Rodrigo Hernández Cascante (Manchester City, Midfielder)",MCI,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,20,26/01/2021,MID,False
"Laporte  Aymeric Laporte (Manchester City, Defender)",MCI,5.5,0,38,1,0,0,0,0,0,0,0,0,0,0,WBA,20,26/01/2021,DEF,False
"Mahrez  Riyad Mahrez (Manchester City, Midfielder)",MCI,9.0,1,90,0,0,1,1,0,1,1,0,0,0,0,WBA,20,26/01/2021,MID,False
"Ederson  Ederson Santana de Moraes (Manchester City, Goalkeeper)",MCI,6.0,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,20,26/01/2021,GKP,False
"Sterling  Raheem Sterling (Manchester City, Midfielder)",MCI,11.0,1,90,0,0,1,1,0,1,1,0,0,0,0,WBA,20,26/01/2021,MID,False
"Stones  John Stones (Manchester City, Defender)",MCI,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,20,26/01/2021,DEF,False
"Torres  Ferran Torres (Manchester City, Midfielder)",MCI,7.0,0,38,1,0,0,0,0,0,0,0,0,0,0,WBA,20,26/01/2021,MID,False
"Bernardo Silva  Bernardo Mota Veiga de Carvalho e Silva (Manchester City, Midfielder)",MCI,7.0,1,61,0,1,0,1,0,1,1,0,0,0,0,WBA,20,26/01/2021,MID,False
"Zinchenko  Oleksandr Zinchenko (Manchester City, Defender)",MCI,5.5,1,90,0,0,0,0,0,0,1,0,0,0,0,WBA,20,26/01/2021,DEF,False
"Jesus  Gabriel Fernando de Jesus (Manchester City, Forward)",MCI,8.5,0,29,1,0,0,0,0,0,0,0,0,0,0,WBA,20,26/01/2021,FWD,False
"Ajayi  Semi Ajayi (West Bromwich Albion, Defender)",WBA,4.8,1,90,0,0,0,0,0,0,0,5,0,0,0,MCI,20,26/01/2021,DEF,True
"Bartley  Kyle Bartley (West Bromwich Albion, Defender)",WBA,4.4,0,45,1,0,0,0,0,0,0,2,0,0,0,MCI,20,26/01/2021,DEF,True
"Matheus Pereira  Matheus Fellipe Costa Pereira (West Bromwich Albion, Midfielder)",WBA,5.4,1,90,0,0,0,0,0,0,0,5,0,0,0,MCI,20,26/01/2021,MID,True
"Furlong  Darnell Furlong (West Bromwich Albion, Defender)",WBA,4.5,1,90,0,0,0,0,0,0,0,5,0,0,0,MCI,20,26/01/2021,DEF,True
"Gibbs  Kieran Gibbs (West Bromwich Albion, Defender)",WBA,4.3,1,90,0,0,0,0,0,0,0,5,0,0,0,MCI,20,26/01/2021,DEF,True
"Grant (Karlan)  Karlan Grant (West Bromwich Albion, Forward)",WBA,5.6,1,64,0,1,0,0,0,0,0,5,0,0,0,MCI,20,26/01/2021,FWD,True
"Johnstone  Sam Johnstone (West Bromwich Albion, Goalkeeper)",WBA,4.6,1,90,0,0,0,0,0,0,0,5,0,0,0,MCI,20,26/01/2021,GKP,True
"Livermore  Jake Livermore (West Bromwich Albion, Midfielder)",WBA,4.7,1,90,0,0,0,0,0,0,0,5,0,0,0,MCI,20,26/01/2021,MID,True
"O'Shea  Dara O&#039;Shea (West Bromwich Albion, Defender)",WBA,4.2,1,90,0,0,0,0,0,0,0,5,0,1,0,MCI,20,26/01/2021,DEF,True
"Phillips (Matthew)  Matthew Phillips (West Bromwich Albion, Midfielder)",WBA,5.1,0,31,1,0,0,0,0,0,0,0,0,0,0,MCI,20,26/01/2021,MID,True
"Robinson (Callum)  Callum Robinson (West Bromwich Albion, Forward)",WBA,5.2,1,45,0,1,0,0,0,0,0,3,0,0,0,MCI,20,26/01/2021,FWD,True
"Robson-Kanu  Hal Robson-Kanu (West Bromwich Albion, Forward)",WBA,5.2,0,26,1,0,0,0,0,0,0,0,0,1,0,MCI,20,26/01/2021,FWD,True
"Sawyers  Romaine Sawyers (West Bromwich Albion, Midfielder)",WBA,4.6,1,90,0,0,0,0,0,0,0,5,0,0,0,MCI,20,26/01/2021,MID,True
"Snodgrass  Robert Snodgrass (West Bromwich Albion, Midfielder)",WBA,5.6,1,59,0,1,0,0,0,0,0,5,0,0,0,MCI,20,26/01/2021,MID,True
