Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Bissouma  Yves Bissouma (Brighton and Hove Albion, Midfielder)",BHA,4.5,90,11,8,0,6,0,0,0,0,16,16,5.6,31/01/2021
"Burn  Dan Burn (Brighton and Hove Albion, Defender)",BHA,4.5,18,2,2,0,0,0,0,0,0,-1,-1,0.0,31/01/2021
"Connolly  Aaron Connolly (Brighton and Hove Albion, Forward)",BHA,5.5,11,0,0,0,0,0,0,0,0,0,0,0.0,31/01/2021
"Dunk  Lewis Dunk (Brighton and Hove Albion, Defender)",BHA,5.0,90,6,1,1,2,0,0,1,0,25,13,6.9,31/01/2021
"Groß  Pascal Groß (Brighton and Hove Albion, Midfielder)",BHA,6.0,90,9,1,2,4,4,1,5,1,36,27,3.3,31/01/2021
"Lallana  Adam Lallana (Brighton and Hove Albion, Midfielder)",BHA,5.5,11,0,2,0,0,0,0,0,0,3,3,3.7,31/01/2021
"Mac Allister  Alexis Mac Allister (Brighton and Hove Albion, Midfielder)",BHA,5.5,90,8,2,0,4,0,0,2,2,12,12,7.5,31/01/2021
"March  Solomon March (Brighton and Hove Albion, Midfielder)",BHA,5.5,90,6,4,4,4,1,0,2,0,22,22,4.1,31/01/2021
"Maupay  Neal Maupay (Brighton and Hove Albion, Forward)",BHA,6.5,79,6,1,0,0,0,0,2,3,4,4,19.8,31/01/2021
"Sanchez  Robert Sanchez (Brighton and Hove Albion, Goalkeeper)",BHA,4.5,90,9,1,0,0,0,0,0,0,29,17,5.3,31/01/2021
"Trossard  Leandro Trossard (Brighton and Hove Albion, Midfielder)",BHA,6.5,79,8,2,0,4,1,0,2,1,32,11,7.2,31/01/2021
"Veltman  Joël Veltman (Brighton and Hove Albion, Defender)",BHA,4.5,72,3,2,0,2,0,0,1,0,21,9,8.0,31/01/2021
"Webster  Adam Webster (Brighton and Hove Albion, Defender)",BHA,4.5,90,3,10,0,4,0,0,0,0,28,16,5.6,31/01/2021
"White (Ben)  Ben White (Brighton and Hove Albion, Defender)",BHA,4.5,90,4,3,0,2,0,0,1,0,23,11,8.2,31/01/2021
"Alderweireld  Toby Alderweireld (Tottenham Hotspur, Defender)",TOT,5.0,90,7,14,0,2,1,0,0,1,11,11,8.2,31/01/2021
"Carlos Vinicius  Carlos Vinicius Alves Morais (Tottenham Hotspur, Forward)",TOT,6.9,45,1,1,0,0,0,0,1,1,5,5,9.0,31/01/2021
"Bale  Gareth Bale (Tottenham Hotspur, Midfielder)",TOT,9.2,61,0,2,1,0,0,0,1,0,6,6,10.2,31/01/2021
"Bergwijn  Steven Bergwijn (Tottenham Hotspur, Midfielder)",TOT,6.0,90,4,0,0,4,0,0,1,1,8,8,11.3,31/01/2021
"Davies (Ben)  Ben Davies (Tottenham Hotspur, Defender)",TOT,4.5,90,3,7,2,2,0,0,1,2,16,16,5.6,31/01/2021
"Højbjerg  Pierre-Emile Højbjerg (Tottenham Hotspur, Midfielder)",TOT,5.0,90,10,1,0,4,0,0,0,0,13,13,6.9,31/01/2021
"Lamela  Erik Lamela (Tottenham Hotspur, Midfielder)",TOT,6.0,16,0,0,0,0,0,0,0,0,2,2,8.0,31/01/2021
"Lloris  Hugo Lloris (Tottenham Hotspur, Goalkeeper)",TOT,5.5,90,8,0,0,0,0,0,0,0,12,12,7.5,31/01/2021
"NDombele  Tanguy NDombele (Tottenham Hotspur, Midfielder)",TOT,6.0,74,6,3,0,4,0,0,0,5,15,15,4.9,31/01/2021
"Rodon  Joe Rodon (Tottenham Hotspur, Defender)",TOT,4.5,90,7,2,1,6,0,0,0,0,17,17,5.3,31/01/2021
"Lucas Moura  Lucas Rodrigues Moura da Silva (Tottenham Hotspur, Midfielder)",TOT,6.5,29,1,0,0,0,0,0,0,2,0,0,0.0,31/01/2021
"Sissoko  Moussa Sissoko (Tottenham Hotspur, Midfielder)",TOT,4.5,90,9,3,0,2,1,0,1,2,12,12,7.5,31/01/2021
"Son  Heung-Min Son (Tottenham Hotspur, Midfielder)",TOT,10.0,90,2,0,1,2,0,0,2,2,12,12,7.5,31/01/2021
"DSanchez  Davinson Sánchez (Tottenham Hotspur, Defender)",TOT,4.5,45,2,5,0,0,0,0,0,0,5,5,9.0,31/01/2021
