Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Jordan Ayew  Jordan Ayew (Crystal Palace, Forward)",CRY,6.0,90,3,1,0,4,0,0,2,5,22,13,6.9,30/01/2021
"Batshuayi  Michy Batshuayi (Crystal Palace, Forward)",CRY,5.5,79,2,0,0,0,0,1,2,3,0,0,0.0,30/01/2021
"Clyne  Nathaniel Clyne (Crystal Palace, Defender)",CRY,4.5,85,6,5,0,2,0,0,0,0,21,9,9.4,30/01/2021
"Dann  Scott Dann (Crystal Palace, Defender)",CRY,4.2,90,3,3,1,6,0,0,0,0,28,16,5.6,30/01/2021
"Eze  Eberechi Eze (Crystal Palace, Midfielder)",CRY,6.0,90,2,0,0,6,0,0,0,0,31,10,9.0,30/01/2021
"Guaita  Vicente Guaita (Crystal Palace, Goalkeeper)",CRY,4.5,90,9,0,0,0,0,0,0,0,29,17,5.3,30/01/2021
"Kouyaté  Cheikhou Kouyaté (Crystal Palace, Midfielder)",CRY,4.5,90,2,6,1,6,0,0,0,0,16,16,5.6,30/01/2021
"McCarthy (James)  James McCarthy (Crystal Palace, Midfielder)",CRY,4.3,45,6,0,0,6,0,0,0,0,11,11,4.1,30/01/2021
"Milivojevic  Luka Milivojevic (Crystal Palace, Midfielder)",CRY,5.5,90,5,4,0,4,0,0,0,0,9,9,10.0,30/01/2021
"Riedewald  Jairo Riedewald (Crystal Palace, Midfielder)",CRY,5.0,45,6,2,0,0,0,0,0,0,6,6,7.5,30/01/2021
"Townsend (Andros)  Andros Townsend (Crystal Palace, Midfielder)",CRY,5.5,11,0,0,0,0,0,0,0,0,1,1,11.0,30/01/2021
"Van Aanholt  Patrick Van Aanholt (Crystal Palace, Defender)",CRY,5.4,90,10,3,0,6,0,0,2,2,31,19,4.7,30/01/2021
"Ward (Joel)  Joel Ward (Crystal Palace, Defender)",CRY,4.5,5,0,0,1,0,0,0,0,0,5,5,1.0,30/01/2021
"Zaha  Wilfried Zaha (Crystal Palace, Midfielder)",CRY,7.0,90,7,0,0,4,0,0,1,1,-1,-1,0.0,30/01/2021
"Boly  Willy Boly (Wolverhampton Wanderers, Defender)",WOL,5.0,90,3,4,4,6,0,0,0,0,22,22,4.1,30/01/2021
"Coady  Conor Coady (Wolverhampton Wanderers, Defender)",WOL,4.5,90,4,2,2,6,0,0,0,0,15,15,6.0,30/01/2021
"Willian José  Willian José Da Silva (Wolverhampton Wanderers, Forward)",WOL,6.8,90,5,2,0,0,0,0,0,0,3,3,30.0,30/01/2021
"Dendoncker (Leander)  Leander Dendoncker (Wolverhampton Wanderers, Midfielder)",WOL,5.0,90,6,3,0,6,0,0,1,1,16,16,5.6,30/01/2021
"Hoever  Ki-Jana Hoever (Wolverhampton Wanderers, Defender)",WOL,4.0,63,6,3,0,2,0,0,0,0,10,10,6.3,30/01/2021
"Kilman  Max Kilman (Wolverhampton Wanderers, Defender)",WOL,4.5,90,5,1,0,6,0,0,1,0,7,7,12.9,30/01/2021
"Vitor Ferreira  Vitor Machado Ferreira (Wolverhampton Wanderers, Midfielder)",WOL,4.7,22,1,0,0,0,0,0,0,0,2,2,11.0,30/01/2021
"Moutinho  João Moutinho (Wolverhampton Wanderers, Midfielder)",WOL,5.0,78,6,1,3,6,0,0,0,0,19,19,4.1,30/01/2021
"Neto  Pedro Neto (Wolverhampton Wanderers, Midfielder)",WOL,6.5,90,8,2,0,4,2,1,3,5,20,20,4.5,30/01/2021
"Podence  Daniel Podence (Wolverhampton Wanderers, Midfielder)",WOL,5.5,68,2,0,0,0,1,0,1,1,7,7,9.7,30/01/2021
"Semedo  Nelson Semedo (Wolverhampton Wanderers, Defender)",WOL,5.0,90,5,2,0,4,2,0,0,3,14,14,6.4,30/01/2021
"Fabio Silva  Fabio Daniel Soares Silva (Wolverhampton Wanderers, Forward)",WOL,6.0,12,1,0,0,0,0,0,0,0,3,3,4.0,30/01/2021
"Traoré  Adama Traoré (Wolverhampton Wanderers, Midfielder)",WOL,6.0,27,4,0,0,0,0,0,0,3,3,3,9.0,30/01/2021
"Rui Patrício  Rui Pedro dos Santos Patrício (Wolverhampton Wanderers, Goalkeeper)",WOL,5.0,90,5,0,0,0,0,0,0,0,9,9,10.0,30/01/2021
