Name,Team,Cost,Mins,Rec,CBI,Tackles,PC,OPC,BCC,KP,Dribble,BPS,BBPS,Mins/ BBPS,date
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,90,1,4,0,0,0,0,1,0,2,2,45.0,30/01/2021
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,90,5,4,0,4,1,0,0,0,11,11,8.2,30/01/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,90,9,5,2,4,0,0,2,2,18,18,5.0,30/01/2021
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,90,9,4,0,4,0,0,2,0,17,17,5.3,30/01/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,63,2,0,0,0,0,0,0,1,6,6,10.5,30/01/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,90,4,11,0,4,0,0,0,0,12,12,7.5,30/01/2021
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,90,4,5,2,6,0,0,0,0,17,17,5.3,30/01/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,90,8,0,0,0,0,0,0,0,10,10,9.0,30/01/2021
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,90,2,0,0,4,0,0,1,0,3,3,30.0,30/01/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,90,9,3,2,6,0,0,0,1,13,13,6.9,30/01/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,27,0,0,2,2,0,0,0,0,8,8,3.4,30/01/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,90,6,3,0,2,0,0,1,2,7,7,12.9,30/01/2021
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,90,9,3,2,2,1,1,3,0,20,20,4.5,30/01/2021
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,36,1,2,0,0,0,0,0,0,4,4,9.0,30/01/2021
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,90,5,1,0,0,0,0,0,0,24,12,7.5,30/01/2021
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,67,0,0,0,0,2,2,3,0,17,17,3.9,30/01/2021
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,90,4,7,2,4,0,0,0,1,18,18,5.0,30/01/2021
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,90,2,2,0,0,1,0,1,2,3,3,30.0,30/01/2021
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,54,2,4,0,0,0,0,0,0,1,1,54.0,30/01/2021
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,90,10,2,0,4,1,1,1,0,40,19,4.7,30/01/2021
"Manquillo  Javier Manquillo (Newcastle United, Defender)",NEW,4.0,90,6,2,1,0,0,0,0,0,23,11,8.2,30/01/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,23,1,0,0,0,0,0,0,1,3,3,7.7,30/01/2021
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,90,5,9,0,4,0,0,0,0,27,15,6.0,30/01/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,90,4,2,0,6,0,0,1,1,17,8,11.3,30/01/2021
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,90,3,1,1,0,0,0,0,3,42,-9,0.0,30/01/2021
