Name,Team,Cost,A,xA,Δ,Mins/xA,G,xG,Δ.1,Mins/xG,xGI,Δ.2,Mins/xGI,date
"Calvert-Lewin  Dominic Calvert-Lewin (Everton, Forward)",EVE,8.0,0,0.31,-0.31,290.3,0,0.03,-0.03,3000.0,0.34,-0.34,264.7,30/01/2021
"Coleman  Seamus Coleman (Everton, Defender)",EVE,5.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,30/01/2021
"Digne  Lucas Digne (Everton, Defender)",EVE,5.5,0,0.03,-0.03,3000.0,0,0.01,-0.01,9000.0,0.04,-0.04,2250.0,30/01/2021
"Doucouré  Abdoulaye Doucouré (Everton, Midfielder)",EVE,5.5,0,0.06,-0.06,1500.0,0,0.0,0.0,inf,0.06,-0.06,1500.0,30/01/2021
"Iwobi  Alex Iwobi (Everton, Midfielder)",EVE,6.0,0,0.02,-0.02,3150.0,0,0.0,0.0,inf,0.02,-0.02,3150.0,30/01/2021
"Keane  Michael Keane (Everton, Defender)",EVE,5.0,0,0.04,-0.04,2250.0,0,0.0,0.0,inf,0.04,-0.04,2250.0,30/01/2021
"Mina  Yerry Mina (Everton, Defender)",EVE,5.0,0,0.0,0.0,inf,0,0.41,-0.41,219.5,0.41,-0.41,219.5,30/01/2021
"Pickford  Jordan Pickford (Everton, Goalkeeper)",EVE,5.0,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/01/2021
"Rodríguez  James Rodríguez (Everton, Midfielder)",EVE,7.0,0,0.11,-0.11,818.2,0,0.08,-0.08,1125.0,0.19,-0.19,473.7,30/01/2021
"Sigurdsson  Gylfi Sigurdsson (Everton, Midfielder)",EVE,7.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,30/01/2021
"André Gomes  André Filipe Tavares Gomes (Everton, Midfielder)",EVE,5.0,0,0.03,-0.03,900.0,0,0.03,-0.03,900.0,0.06,-0.06,450.0,30/01/2021
"Richarlison  Richarlison de Andrade (Everton, Forward)",EVE,7.5,0,0.03,-0.03,3000.0,0,0.22,-0.22,409.1,0.25,-0.25,360.0,30/01/2021
"Almirón  Miguel Almirón (Newcastle United, Midfielder)",NEW,5.5,0,0.43,-0.43,209.3,0,0.07,-0.07,1285.7,0.5,-0.5,180.0,30/01/2021
"Clark  Ciaran Clark (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/01/2021
"Darlow  Karl Darlow (Newcastle United, Goalkeeper)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/01/2021
"Fraser  Ryan Fraser (Newcastle United, Midfielder)",NEW,5.5,0,0.14,-0.14,478.6,0,0.0,0.0,inf,0.14,-0.14,478.6,30/01/2021
"Hayden (Isaac)  Isaac Hayden (Newcastle United, Midfielder)",NEW,4.5,0,0.01,-0.01,9000.0,0,0.09,-0.09,1000.0,0.1,-0.1,900.0,30/01/2021
"Hendrick  Jeff Hendrick (Newcastle United, Midfielder)",NEW,5.0,0,0.05,-0.05,1800.0,0,0.0,0.0,inf,0.05,-0.05,1800.0,30/01/2021
"Lascelles  Jamaal Lascelles (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/01/2021
"Lewis (Jamal)  Jamal Lewis (Newcastle United, Defender)",NEW,4.5,1,0.05,0.95,1800.0,0,0.0,0.0,inf,0.05,0.95,1800.0,30/01/2021
"Manquillo  Javier Manquillo (Newcastle United, Defender)",NEW,4.0,0,0.01,-0.01,9000.0,0,0.0,0.0,inf,0.01,-0.01,9000.0,30/01/2021
"Saint-Maximin  Allan Saint-Maximin (Newcastle United, Midfielder)",NEW,6.5,0,0.0,0.0,inf,0,0.0,0.0,inf,0.0,0.0,inf,30/01/2021
"Schär  Fabian Schär (Newcastle United, Defender)",NEW,4.5,0,0.0,0.0,inf,0,0.04,-0.04,2250.0,0.04,-0.04,2250.0,30/01/2021
"Shelvey  Jonjo Shelvey (Newcastle United, Midfielder)",NEW,5.5,1,0.05,0.95,1800.0,0,0.19,-0.19,473.7,0.24,0.76,375.0,30/01/2021
"C Wilson  Callum Wilson (Newcastle United, Forward)",NEW,7.5,0,0.04,-0.04,2250.0,2,1.27,0.73,70.9,1.31,0.69,68.7,30/01/2021
